# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# ORDERS=3,9,27,81,243,729
# EXPECTED_TOTALS=1,2,5,15,67,504
# TOTAL_GROUPS=594
# NEXT_ORDER=2187
# NEXT_ORDER_TOTAL=9310
# NEXT_ORDER_SCANNED=false
# CLIQUE_CUTOFF=8
# TARGET_CLIQUE=9
# SCOPE=finite_SmallGroups_orders_3_through_729_only_order_2187_not_scanned
group_order	group_id	structure	center_order	coset_count	pc_relative_orders	status	witness_vertices	witness_exponents	witness_forward_products	witness_reverse_products	is_ac	centralizer_indices	adjacency_masks
243	8	(C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)	9	27	3,3,3,3,3	candidate					true	1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9	0,134217708,134217690,134217654,134217708,134217690,134217654,134216574,134209278,134151678,134216574,133167102,133689342,134209278,134168574,134168574,134151678,133824510,133824510,133689342,133167102,123731966,62914558,123731966,83886078,83886078,62914558
243	9	(C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)	9	27	3,3,3,3,3	candidate					true	1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9	0,134217708,134217690,134217654,134217708,134217690,134217654,134216574,134209278,134151678,134216574,133167102,133689342,134209278,134168574,134168574,134151678,133824510,133824510,133689342,133167102,123731966,62914558,123731966,83886078,83886078,62914558
243	10	C27 x C9	243	1	3,3,3,3,3	candidate					true	1	0
243	11	C27 : C9	27	9	3,3,3,3,3	candidate					true	1,3,3,3,3,3,3,3,3	0,500,490,500,490,414,414,126,126
243	12	(C3 x C3) : C27	27	9	3,3,3,3,3	candidate					true	1,3,3,3,3,3,3,3,3	0,500,490,500,490,414,414,126,126
243	13	(C3 x C3 x C3) : C9	9	27	3,3,3,3,3	candidate					true	1,9,3,3,9,3,3,3,9,9,9,3,3,9,9,9,3,9,9,9,9,9,9,9,9,9,9	0,134217708,134145810,134145810,134217708,134145810,134145810,134145810,133693182,134209022,134085630,134145810,134145810,134209022,130007038,67076094,134145810,134085630,131858430,133693182,99614718,131858430,130007038,109051902,109051902,99614718,67076094
243	14	(C9 x C3) : C9	9	27	3,3,3,3,3	candidate					true	1,9,3,3,9,3,3,3,9,9,9,3,3,9,9,9,3,9,9,9,9,9,9,9,9,9,9	0,134217708,134145810,134145810,134217708,134145810,134145810,134145810,133693182,134209022,134085630,134145810,134145810,134209022,130007038,67076094,134145810,134085630,131858430,133693182,99614718,131858430,130007038,109051902,109051902,99614718,67076094
243	15	(C9 x C3) : C9	9	27	3,3,3,3,3	candidate					true	1,9,3,3,9,3,3,3,9,9,9,3,3,9,9,9,3,9,9,9,9,9,9,9,9,9,9	0,134217708,134145810,134145810,134217708,134145810,134145810,134145810,133693182,134209022,134085630,134145810,134145810,134209022,130007038,67076094,134145810,134085630,131858430,133693182,99614718,131858430,130007038,109051902,109051902,99614718,67076094
243	16	(C27 : C3) : C3	9	27	3,3,3,3,3	candidate					true	1,9,3,3,9,3,3,3,9,9,9,3,3,9,9,9,3,9,9,9,9,9,9,9,9,9,9	0,134217708,134145810,134145810,134217708,134145810,134145810,134145810,133693182,134209022,134085630,134145810,134145810,134209022,130007038,67076094,134145810,134085630,131858430,133693182,99614718,131858430,130007038,109051902,109051902,99614718,67076094
243	17	((C3 x C3) : C3) : C9	9	27	3,3,3,3,3	candidate					true	1,9,9,3,9,9,3,9,9,9,9,9,3,3,3,9,9,3,9,9,9,9,9,3,3,9,9	0,134217708,134217690,108892086,134217708,134217690,108892086,134215550,130023166,134184446,133692414,134215550,108892086,108892086,108892086,134184446,133890046,108892086,133890046,133692414,131071998,131071998,130023166,108892086,108892086,33554430,33554430
