# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# ORDERS=3,9,27,81,243,729
# EXPECTED_TOTALS=1,2,5,15,67,504
# TOTAL_GROUPS=594
# NEXT_ORDER=2187
# NEXT_ORDER_TOTAL=9310
# NEXT_ORDER_SCANNED=false
# CLIQUE_CUTOFF=8
# TARGET_CLIQUE=9
# SCOPE=finite_SmallGroups_orders_3_through_729_only_order_2187_not_scanned
group_order	group_id	structure	center_order	coset_count	pc_relative_orders	status	witness_vertices	witness_exponents	witness_forward_products	witness_reverse_products	is_ac	centralizer_indices	adjacency_masks
729	165	((C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)) : C3	9	81	3,3,3,3,3,3	candidate					false	1,9,9,3,9,9,9,9,3,9,9,27,9,9,9,9,9,3,3,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,9,9,9,9,9,9,9,27,27,27,27,27,27,9,9,9,9,27,27,27,27,27,27,27,27,9,9,9,27,27,27,27,27,9,27,27,27,27,27,27,27,27,27,27	0,2417851639229257665347548,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229257665347548,2417851639229258332585522,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229258281908454,2417851639229258348886014,2417851638103352805019646,2417851638103352805019646,2417851639229258332585522,2417851639229258332585522,2417847025285942516580086,2416671046481661832841412,2416671046481661832841412,2417851639229258348886014,2417851639088520860008446,2417851639194073975226366,2417851639229257665347548,2417851639229257665347548,2417851639229258332585522,2417847025285942516580086,2417851639229258281908454,2417851639229257665347548,2417851638103352805019646,2417851639229257665347548,2417851638103352805019646,2416671047607568127623166,2417851638103352805019646,2416671047607568127623166,2417851639211648983498750,2417851621214825480191998,2398962173297711049080830,2416671047607568127623166,2416671047607568127623166,2416671047607568127623166,2417847025285942516580086,2417823955591353786695414,2417847025285942516580086,2417823955591353786695414,2417851639211648983498750,2417851639194073975226366,2266735911707060958396414,2417851639088520860008446,2417777851971488534495230,2342293774940394072571902,2417851638103352805019646,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417851621214825480191998,2417850450278956723601406,2415490383930229488877566,1813388585306755686203390,2417703777046292521287678,2417814169280358626885630,2417850450278956723601406,2380070401523291974008830,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417814169280358626885630,2417777851971488534495230,2417703777046292521287678,2115325036420421702909950,2412538976936029998546942,2416671047607568127623166,2415490383930229488877566,2412538976936029998546942,1199481086648889884278782,2398962173297711049080830,2380070401523291974008830,2342293774940394072571902,2266735911707060958396414,2115325036420421702909950,1813388585306755686203390,1199481086648889884278782
729	166	((C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)) : C3	9	81	3,3,3,3,3,3	candidate					false	1,9,9,3,9,9,9,9,3,9,9,27,9,9,9,9,9,3,3,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,9,9,9,9,9,9,9,27,27,27,27,27,27,9,9,9,9,27,27,27,27,27,27,27,27,9,9,9,27,27,27,27,27,9,27,27,27,27,27,27,27,27,27,27	0,2417851639229257665347548,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229257665347548,2417851639229258332585522,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229258281908454,2417851639229258348886014,2417851638103352805019646,2417851638103352805019646,2417851639229258332585522,2417851639229258332585522,2417847025285942516580086,2416671046481661832841412,2416671046481661832841412,2417851639229258348886014,2417851639088520860008446,2417851639194073975226366,2417851639229257665347548,2417851639229257665347548,2417851639229258332585522,2417847025285942516580086,2417851639229258281908454,2417851639229257665347548,2417851638103352805019646,2417851639229257665347548,2417851638103352805019646,2416671047607568127623166,2417851638103352805019646,2416671047607568127623166,2417851639211648983498750,2417851621214825480191998,2398962173297711049080830,2416671047607568127623166,2416671047607568127623166,2416671047607568127623166,2417847025285942516580086,2417823955591353786695414,2417847025285942516580086,2417823955591353786695414,2417851639211648983498750,2417851639194073975226366,2266735911707060958396414,2417851639088520860008446,2417777851971488534495230,2342293774940394072571902,2417851638103352805019646,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417851621214825480191998,2417850450278956723601406,2415490383930229488877566,1813388585306755686203390,2417703777046292521287678,2417814169280358626885630,2417850450278956723601406,2380070401523291974008830,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417814169280358626885630,2417777851971488534495230,2417703777046292521287678,2115325036420421702909950,2412538976936029998546942,2416671047607568127623166,2415490383930229488877566,2412538976936029998546942,1199481086648889884278782,2398962173297711049080830,2380070401523291974008830,2342293774940394072571902,2266735911707060958396414,2115325036420421702909950,1813388585306755686203390,1199481086648889884278782
729	167	((C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)) : C3	9	81	3,3,3,3,3,3	candidate					false	1,9,9,3,9,9,9,9,3,9,9,27,9,9,9,9,9,3,3,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,9,9,9,9,9,9,9,27,27,27,27,27,27,9,9,9,9,27,27,27,27,27,27,27,27,9,9,9,27,27,27,27,27,9,27,27,27,27,27,27,27,27,27,27	0,2417851639229257665347548,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229257665347548,2417851639229258332585522,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229258281908454,2417851639229258348886014,2417851638103352805019646,2417851638103352805019646,2417851639229258332585522,2417851639229258332585522,2417847025285942516580086,2416671046481661832841412,2416671046481661832841412,2417851639229258348886014,2417851639088520860008446,2417851639194073975226366,2417851639229257665347548,2417851639229257665347548,2417851639229258332585522,2417847025285942516580086,2417851639229258281908454,2417851639229257665347548,2417851638103352805019646,2417851639229257665347548,2417851638103352805019646,2416671047607568127623166,2417851638103352805019646,2416671047607568127623166,2417851639211648983498750,2417851621214825480191998,2398962173297711049080830,2416671047607568127623166,2416671047607568127623166,2416671047607568127623166,2417847025285942516580086,2417823955591353786695414,2417847025285942516580086,2417823955591353786695414,2417851639211648983498750,2417851639194073975226366,2266735911707060958396414,2417851639088520860008446,2417777851971488534495230,2342293774940394072571902,2417851638103352805019646,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417851621214825480191998,2417850450278956723601406,2415490383930229488877566,1813388585306755686203390,2417703777046292521287678,2417814169280358626885630,2417850450278956723601406,2380070401523291974008830,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417814169280358626885630,2417777851971488534495230,2417703777046292521287678,2115325036420421702909950,2412538976936029998546942,2416671047607568127623166,2415490383930229488877566,2412538976936029998546942,1199481086648889884278782,2398962173297711049080830,2380070401523291974008830,2342293774940394072571902,2266735911707060958396414,2115325036420421702909950,1813388585306755686203390,1199481086648889884278782
729	168	(((C9 x C3) : C3) : C3) : C3	9	81	3,3,3,3,3,3	candidate					false	1,9,9,3,9,9,9,9,3,9,9,27,9,9,9,9,9,3,3,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,9,9,9,9,9,9,9,27,27,27,27,27,27,9,9,9,9,27,27,27,27,27,27,27,27,9,9,9,27,27,27,27,27,9,27,27,27,27,27,27,27,27,27,27	0,2417851639229257665347548,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229257665347548,2417851639229258332585522,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229258281908454,2417851639229258348886014,2417851638103352805019646,2417851638103352805019646,2417851639229258332585522,2417851639229258332585522,2417847025285942516580086,2416671046481661832841412,2416671046481661832841412,2417851639229258348886014,2417851639088520860008446,2417851639194073975226366,2417851639229257665347548,2417851639229257665347548,2417851639229258332585522,2417847025285942516580086,2417851639229258281908454,2417851639229257665347548,2417851638103352805019646,2417851639229257665347548,2417851638103352805019646,2416671047607568127623166,2417851638103352805019646,2416671047607568127623166,2417851639211648983498750,2417851621214825480191998,2398962173297711049080830,2416671047607568127623166,2416671047607568127623166,2416671047607568127623166,2417847025285942516580086,2417823955591353786695414,2417847025285942516580086,2417823955591353786695414,2417851639211648983498750,2417851639194073975226366,2266735911707060958396414,2417851639088520860008446,2417777851971488534495230,2342293774940394072571902,2417851638103352805019646,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417851621214825480191998,2417850450278956723601406,2415490383930229488877566,1813388585306755686203390,2417703777046292521287678,2417814169280358626885630,2417850450278956723601406,2380070401523291974008830,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417814169280358626885630,2417777851971488534495230,2417703777046292521287678,2115325036420421702909950,2412538976936029998546942,2416671047607568127623166,2415490383930229488877566,2412538976936029998546942,1199481086648889884278782,2398962173297711049080830,2380070401523291974008830,2342293774940394072571902,2266735911707060958396414,2115325036420421702909950,1813388585306755686203390,1199481086648889884278782
729	169	((C3 x (C9 : C3)) : C3) : C3	9	81	3,3,3,3,3,3	candidate					false	1,9,9,3,9,9,9,9,3,9,9,27,9,9,9,9,9,3,3,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,9,9,9,9,9,9,9,27,27,27,27,27,27,9,9,9,9,27,27,27,27,27,27,27,27,9,9,9,27,27,27,27,27,9,27,27,27,27,27,27,27,27,27,27	0,2417851639229257665347548,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229257665347548,2417851639229258332585522,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229258281908454,2417851639229258348886014,2417851638103352805019646,2417851638103352805019646,2417851639229258332585522,2417851639229258332585522,2417847025285942516580086,2416671046481661832841412,2416671046481661832841412,2417851639229258348886014,2417851639088520860008446,2417851639194073975226366,2417851639229257665347548,2417851639229257665347548,2417851639229258332585522,2417847025285942516580086,2417851639229258281908454,2417851639229257665347548,2417851638103352805019646,2417851639229257665347548,2417851638103352805019646,2416671047607568127623166,2417851638103352805019646,2416671047607568127623166,2417851639211648983498750,2417851621214825480191998,2398962173297711049080830,2416671047607568127623166,2416671047607568127623166,2416671047607568127623166,2417847025285942516580086,2417823955591353786695414,2417847025285942516580086,2417823955591353786695414,2417851639211648983498750,2417851639194073975226366,2266735911707060958396414,2417851639088520860008446,2417777851971488534495230,2342293774940394072571902,2417851638103352805019646,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417851621214825480191998,2417850450278956723601406,2415490383930229488877566,1813388585306755686203390,2417703777046292521287678,2417814169280358626885630,2417850450278956723601406,2380070401523291974008830,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417814169280358626885630,2417777851971488534495230,2417703777046292521287678,2115325036420421702909950,2412538976936029998546942,2416671047607568127623166,2415490383930229488877566,2412538976936029998546942,1199481086648889884278782,2398962173297711049080830,2380070401523291974008830,2342293774940394072571902,2266735911707060958396414,2115325036420421702909950,1813388585306755686203390,1199481086648889884278782
729	170	((C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)) : C3	9	81	3,3,3,3,3,3	candidate					false	1,9,9,3,9,9,9,9,3,9,9,27,9,9,9,9,9,3,3,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,9,9,9,9,9,9,9,27,27,27,27,27,27,9,9,9,9,27,27,27,27,27,27,27,27,9,9,9,27,27,27,27,27,9,27,27,27,27,27,27,27,27,27,27	0,2417851639229257665347548,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229257665347548,2417851639229258332585522,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229258281908454,2417851639229258348886014,2417851638103352805019646,2417851638103352805019646,2417851639229258332585522,2417851639229258332585522,2417847025285942516580086,2416671046481661832841412,2416671046481661832841412,2417851639229258348886014,2417851639088520860008446,2417851639194073975226366,2417851639229257665347548,2417851639229257665347548,2417851639229258332585522,2417847025285942516580086,2417851639229258281908454,2417851639229257665347548,2417851638103352805019646,2417851639229257665347548,2417851638103352805019646,2416671047607568127623166,2417851638103352805019646,2416671047607568127623166,2417851639211648983498750,2417851621214825480191998,2398962173297711049080830,2416671047607568127623166,2416671047607568127623166,2416671047607568127623166,2417847025285942516580086,2417823955591353786695414,2417847025285942516580086,2417823955591353786695414,2417851639211648983498750,2417851639194073975226366,2266735911707060958396414,2417851639088520860008446,2417777851971488534495230,2342293774940394072571902,2417851638103352805019646,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417851621214825480191998,2417850450278956723601406,2415490383930229488877566,1813388585306755686203390,2417703777046292521287678,2417814169280358626885630,2417850450278956723601406,2380070401523291974008830,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417814169280358626885630,2417777851971488534495230,2417703777046292521287678,2115325036420421702909950,2412538976936029998546942,2416671047607568127623166,2415490383930229488877566,2412538976936029998546942,1199481086648889884278782,2398962173297711049080830,2380070401523291974008830,2342293774940394072571902,2266735911707060958396414,2115325036420421702909950,1813388585306755686203390,1199481086648889884278782
729	171	((C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)) : C3	9	81	3,3,3,3,3,3	candidate					false	1,9,9,3,9,9,9,9,3,9,9,27,9,9,9,9,9,3,3,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,9,9,9,9,9,9,9,27,27,27,27,27,27,9,9,9,9,27,27,27,27,27,27,27,27,9,9,9,27,27,27,27,27,9,27,27,27,27,27,27,27,27,27,27	0,2417851639229257665347548,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229257665347548,2417851639229258332585522,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229258281908454,2417851639229258348886014,2417851638103352805019646,2417851638103352805019646,2417851639229258332585522,2417851639229258332585522,2417847025285942516580086,2416671046481661832841412,2416671046481661832841412,2417851639229258348886014,2417851639088520860008446,2417851639194073975226366,2417851639229257665347548,2417851639229257665347548,2417851639229258332585522,2417847025285942516580086,2417851639229258281908454,2417851639229257665347548,2417851638103352805019646,2417851639229257665347548,2417851638103352805019646,2416671047607568127623166,2417851638103352805019646,2416671047607568127623166,2417851639211648983498750,2417851621214825480191998,2398962173297711049080830,2416671047607568127623166,2416671047607568127623166,2416671047607568127623166,2417847025285942516580086,2417823955591353786695414,2417847025285942516580086,2417823955591353786695414,2417851639211648983498750,2417851639194073975226366,2266735911707060958396414,2417851639088520860008446,2417777851971488534495230,2342293774940394072571902,2417851638103352805019646,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417851621214825480191998,2417850450278956723601406,2415490383930229488877566,1813388585306755686203390,2417703777046292521287678,2417814169280358626885630,2417850450278956723601406,2380070401523291974008830,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417814169280358626885630,2417777851971488534495230,2417703777046292521287678,2115325036420421702909950,2412538976936029998546942,2416671047607568127623166,2415490383930229488877566,2412538976936029998546942,1199481086648889884278782,2398962173297711049080830,2380070401523291974008830,2342293774940394072571902,2266735911707060958396414,2115325036420421702909950,1813388585306755686203390,1199481086648889884278782
729	172	((C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)) : C3	9	81	3,3,3,3,3,3	candidate					false	1,9,9,3,9,9,9,9,3,9,9,27,9,9,9,9,9,3,3,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,9,9,9,9,9,9,9,27,27,27,27,27,27,9,9,9,9,27,27,27,27,27,27,27,27,9,9,9,27,27,27,27,27,9,27,27,27,27,27,27,27,27,27,27	0,2417851639229257665347548,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229257665347548,2417851639229258332585522,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229258281908454,2417851639229258348886014,2417851638103352805019646,2417851638103352805019646,2417851639229258332585522,2417851639229258332585522,2417847025285942516580086,2416671046481661832841412,2416671046481661832841412,2417851639229258348886014,2417851639088520860008446,2417851639194073975226366,2417851639229257665347548,2417851639229257665347548,2417851639229258332585522,2417847025285942516580086,2417851639229258281908454,2417851639229257665347548,2417851638103352805019646,2417851639229257665347548,2417851638103352805019646,2416671047607568127623166,2417851638103352805019646,2416671047607568127623166,2417851639211648983498750,2417851621214825480191998,2398962173297711049080830,2416671047607568127623166,2416671047607568127623166,2416671047607568127623166,2417847025285942516580086,2417823955591353786695414,2417847025285942516580086,2417823955591353786695414,2417851639211648983498750,2417851639194073975226366,2266735911707060958396414,2417851639088520860008446,2417777851971488534495230,2342293774940394072571902,2417851638103352805019646,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417851621214825480191998,2417850450278956723601406,2415490383930229488877566,1813388585306755686203390,2417703777046292521287678,2417814169280358626885630,2417850450278956723601406,2380070401523291974008830,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417814169280358626885630,2417777851971488534495230,2417703777046292521287678,2115325036420421702909950,2412538976936029998546942,2416671047607568127623166,2415490383930229488877566,2412538976936029998546942,1199481086648889884278782,2398962173297711049080830,2380070401523291974008830,2342293774940394072571902,2266735911707060958396414,2115325036420421702909950,1813388585306755686203390,1199481086648889884278782
729	173	((C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)) : C3	9	81	3,3,3,3,3,3	candidate					false	1,9,9,3,9,9,9,9,3,9,9,27,9,9,9,9,9,3,3,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,9,9,9,9,9,9,9,27,27,27,27,27,27,9,9,9,9,27,27,27,27,27,27,27,27,9,9,9,27,27,27,27,27,9,27,27,27,27,27,27,27,27,27,27	0,2417851639229257665347548,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229257665347548,2417851639229258332585522,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229258281908454,2417851639229258348886014,2417851638103352805019646,2417851638103352805019646,2417851639229258332585522,2417851639229258332585522,2417847025285942516580086,2416671046481661832841412,2416671046481661832841412,2417851639229258348886014,2417851639088520860008446,2417851639194073975226366,2417851639229257665347548,2417851639229257665347548,2417851639229258332585522,2417847025285942516580086,2417851639229258281908454,2417851639229257665347548,2417851638103352805019646,2417851639229257665347548,2417851638103352805019646,2416671047607568127623166,2417851638103352805019646,2416671047607568127623166,2417851639211648983498750,2417851621214825480191998,2398962173297711049080830,2416671047607568127623166,2416671047607568127623166,2416671047607568127623166,2417847025285942516580086,2417823955591353786695414,2417847025285942516580086,2417823955591353786695414,2417851639211648983498750,2417851639194073975226366,2266735911707060958396414,2417851639088520860008446,2417777851971488534495230,2342293774940394072571902,2417851638103352805019646,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417851621214825480191998,2417850450278956723601406,2415490383930229488877566,1813388585306755686203390,2417703777046292521287678,2417814169280358626885630,2417850450278956723601406,2380070401523291974008830,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417814169280358626885630,2417777851971488534495230,2417703777046292521287678,2115325036420421702909950,2412538976936029998546942,2416671047607568127623166,2415490383930229488877566,2412538976936029998546942,1199481086648889884278782,2398962173297711049080830,2380070401523291974008830,2342293774940394072571902,2266735911707060958396414,2115325036420421702909950,1813388585306755686203390,1199481086648889884278782
729	174	((C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)) : C3	9	81	3,3,3,3,3,3	candidate					false	1,9,9,3,9,9,9,9,3,9,9,27,9,9,9,9,9,3,3,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,9,9,9,9,9,9,9,27,27,27,27,27,27,9,9,9,9,27,27,27,27,27,27,27,27,9,9,9,27,27,27,27,27,9,27,27,27,27,27,27,27,27,27,27	0,2417851639229257665347548,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229257665347548,2417851639229258332585522,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229258281908454,2417851639229258348886014,2417851638103352805019646,2417851638103352805019646,2417851639229258332585522,2417851639229258332585522,2417847025285942516580086,2416671046481661832841412,2416671046481661832841412,2417851639229258348886014,2417851639088520860008446,2417851639194073975226366,2417851639229257665347548,2417851639229257665347548,2417851639229258332585522,2417847025285942516580086,2417851639229258281908454,2417851639229257665347548,2417851638103352805019646,2417851639229257665347548,2417851638103352805019646,2416671047607568127623166,2417851638103352805019646,2416671047607568127623166,2417851639211648983498750,2417851621214825480191998,2398962173297711049080830,2416671047607568127623166,2416671047607568127623166,2416671047607568127623166,2417847025285942516580086,2417823955591353786695414,2417847025285942516580086,2417823955591353786695414,2417851639211648983498750,2417851639194073975226366,2266735911707060958396414,2417851639088520860008446,2417777851971488534495230,2342293774940394072571902,2417851638103352805019646,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417851621214825480191998,2417850450278956723601406,2415490383930229488877566,1813388585306755686203390,2417703777046292521287678,2417814169280358626885630,2417850450278956723601406,2380070401523291974008830,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417814169280358626885630,2417777851971488534495230,2417703777046292521287678,2115325036420421702909950,2412538976936029998546942,2416671047607568127623166,2415490383930229488877566,2412538976936029998546942,1199481086648889884278782,2398962173297711049080830,2380070401523291974008830,2342293774940394072571902,2266735911707060958396414,2115325036420421702909950,1813388585306755686203390,1199481086648889884278782
729	175	((C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)) : C3	9	81	3,3,3,3,3,3	candidate					false	1,9,9,3,9,9,9,9,3,9,9,27,9,9,9,9,9,3,3,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,9,9,9,9,9,9,9,27,27,27,27,27,27,9,9,9,9,27,27,27,27,27,27,27,27,9,9,9,27,27,27,27,27,9,27,27,27,27,27,27,27,27,27,27	0,2417851639229257665347548,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229257665347548,2417851639229258332585522,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229258281908454,2417851639229258348886014,2417851638103352805019646,2417851638103352805019646,2417851639229258332585522,2417851639229258332585522,2417847025285942516580086,2416671046481661832841412,2416671046481661832841412,2417851639229258348886014,2417851639088520860008446,2417851639194073975226366,2417851639229257665347548,2417851639229257665347548,2417851639229258332585522,2417847025285942516580086,2417851639229258281908454,2417851639229257665347548,2417851638103352805019646,2417851639229257665347548,2417851638103352805019646,2416671047607568127623166,2417851638103352805019646,2416671047607568127623166,2417851639211648983498750,2417851621214825480191998,2398962173297711049080830,2416671047607568127623166,2416671047607568127623166,2416671047607568127623166,2417847025285942516580086,2417823955591353786695414,2417847025285942516580086,2417823955591353786695414,2417851639211648983498750,2417851639194073975226366,2266735911707060958396414,2417851639088520860008446,2417777851971488534495230,2342293774940394072571902,2417851638103352805019646,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417851621214825480191998,2417850450278956723601406,2415490383930229488877566,1813388585306755686203390,2417703777046292521287678,2417814169280358626885630,2417850450278956723601406,2380070401523291974008830,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417814169280358626885630,2417777851971488534495230,2417703777046292521287678,2115325036420421702909950,2412538976936029998546942,2416671047607568127623166,2415490383930229488877566,2412538976936029998546942,1199481086648889884278782,2398962173297711049080830,2380070401523291974008830,2342293774940394072571902,2266735911707060958396414,2115325036420421702909950,1813388585306755686203390,1199481086648889884278782
729	176	((C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)) : C3	9	81	3,3,3,3,3,3	candidate					false	1,9,9,3,9,9,9,9,3,9,9,27,9,9,9,9,9,3,3,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,9,9,9,9,9,9,9,27,27,27,27,27,27,9,9,9,9,27,27,27,27,27,27,27,27,9,9,9,27,27,27,27,27,9,27,27,27,27,27,27,27,27,27,27	0,2417851639229257665347548,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229257665347548,2417851639229258332585522,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229258281908454,2417851639229258348886014,2417851638103352805019646,2417851638103352805019646,2417851639229258332585522,2417851639229258332585522,2417847025285942516580086,2416671046481661832841412,2416671046481661832841412,2417851639229258348886014,2417851639088520860008446,2417851639194073975226366,2417851639229257665347548,2417851639229257665347548,2417851639229258332585522,2417847025285942516580086,2417851639229258281908454,2417851639229257665347548,2417851638103352805019646,2417851639229257665347548,2417851638103352805019646,2416671047607568127623166,2417851638103352805019646,2416671047607568127623166,2417851639211648983498750,2417851621214825480191998,2398962173297711049080830,2416671047607568127623166,2416671047607568127623166,2416671047607568127623166,2417847025285942516580086,2417823955591353786695414,2417847025285942516580086,2417823955591353786695414,2417851639211648983498750,2417851639194073975226366,2266735911707060958396414,2417851639088520860008446,2417777851971488534495230,2342293774940394072571902,2417851638103352805019646,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417851621214825480191998,2417850450278956723601406,2415490383930229488877566,1813388585306755686203390,2417703777046292521287678,2417814169280358626885630,2417850450278956723601406,2380070401523291974008830,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417814169280358626885630,2417777851971488534495230,2417703777046292521287678,2115325036420421702909950,2412538976936029998546942,2416671047607568127623166,2415490383930229488877566,2412538976936029998546942,1199481086648889884278782,2398962173297711049080830,2380070401523291974008830,2342293774940394072571902,2266735911707060958396414,2115325036420421702909950,1813388585306755686203390,1199481086648889884278782
729	177	((C3 x C3) . ((C3 x C3) : C3) = (C3 x C3 x C3) . (C3 x C3)) : C3	9	81	3,3,3,3,3,3	candidate					false	1,9,9,3,9,9,9,9,3,9,9,27,9,9,9,9,9,3,3,27,27,27,9,9,9,9,9,9,9,9,9,9,9,9,27,27,27,9,9,9,9,9,9,9,27,27,27,27,27,27,9,9,9,9,27,27,27,27,27,27,27,27,9,9,9,27,27,27,27,27,9,27,27,27,27,27,27,27,27,27,27	0,2417851639229257665347548,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229257665347548,2417851639229258332585522,2417851639229258332585522,2417819341648037869533218,2417851639229258281908454,2417851639229258281908454,2417851639229258348886014,2417851638103352805019646,2417851638103352805019646,2417851639229258332585522,2417851639229258332585522,2417847025285942516580086,2416671046481661832841412,2416671046481661832841412,2417851639229258348886014,2417851639088520860008446,2417851639194073975226366,2417851639229257665347548,2417851639229257665347548,2417851639229258332585522,2417847025285942516580086,2417851639229258281908454,2417851639229257665347548,2417851638103352805019646,2417851639229257665347548,2417851638103352805019646,2416671047607568127623166,2417851638103352805019646,2416671047607568127623166,2417851639211648983498750,2417851621214825480191998,2398962173297711049080830,2416671047607568127623166,2416671047607568127623166,2416671047607568127623166,2417847025285942516580086,2417823955591353786695414,2417847025285942516580086,2417823955591353786695414,2417851639211648983498750,2417851639194073975226366,2266735911707060958396414,2417851639088520860008446,2417777851971488534495230,2342293774940394072571902,2417851638103352805019646,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417851621214825480191998,2417850450278956723601406,2415490383930229488877566,1813388585306755686203390,2417703777046292521287678,2417814169280358626885630,2417850450278956723601406,2380070401523291974008830,2417847025285942516580086,2417823955591353786695414,2417823955591353786695414,2417814169280358626885630,2417777851971488534495230,2417703777046292521287678,2115325036420421702909950,2412538976936029998546942,2416671047607568127623166,2415490383930229488877566,2412538976936029998546942,1199481086648889884278782,2398962173297711049080830,2380070401523291974008830,2342293774940394072571902,2266735911707060958396414,2115325036420421702909950,1813388585306755686203390,1199481086648889884278782
