# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# Q_ORDER=64
# Q_ID=195
# STRUCTURE=C2 x ((C4 x C4) : C2)
# Q_PC_RELATIVE_ORDERS=2,2,2,2,2,2
# COVER_ORDER=4096
# PC_CONVERSION_KERNEL_ORDER=1
# COVER_TO_Q_KERNEL_ORDER=64
# COVER_KERNEL_CENTRAL=true
# COVER_KERNEL_IN_DERIVED=true
# EXTERIOR_ORDER=128
# EXTERIOR_RELATIVE_ORDERS=2,2,2,2,2,4
# ACTION_COUNT=12
# AUTOMORPHISM_GENERATOR_COUNT=12
# COMMUTATOR_ROW_COUNT=64
ACTIONS
action_index	image_vectors	q_conjugation
0	0,0,0,0,0,0	0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0
1	1,0,0,0,0,0	0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,1,2;1,0,0,0,0,1;0,1,1,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,1,2;1,0,0,0,0,1;0,1,1,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;1,0,0,0,1,3;0,1,1,0,1,0;0,0,0,0,1,0;0,0,0,0,1,2;1,1,1,0,0,3;1,0,0,0,0,3;1,0,0,0,0,1;0,1,1,0,0,0;0,1,1,0,0,2;0,0,0,0,0,2;1,0,0,0,1,3;0,1,1,0,1,0;0,0,0,0,1,0;0,0,0,0,1,2;1,1,1,0,0,3;1,0,0,0,0,3;1,0,0,0,0,1;0,1,1,0,0,0;0,1,1,0,0,2;0,0,0,0,0,2;1,1,1,0,1,1;1,0,0,0,1,1;1,0,0,0,1,3;0,1,1,0,1,2;0,1,1,0,1,0;0,0,0,0,1,0;1,1,1,0,0,1;1,1,1,0,0,3;1,0,0,0,0,3;0,1,1,0,0,0;1,1,1,0,1,1;1,0,0,0,1,1;1,0,0,0,1,3;0,1,1,0,1,2;0,1,1,0,1,0;0,0,0,0,1,0;1,1,1,0,0,1;1,1,1,0,0,3;1,0,0,0,0,3;0,1,1,0,0,0;1,1,1,0,1,3;1,1,1,0,1,1;1,0,0,0,1,1;0,1,1,0,1,2;1,1,1,0,0,1;1,1,1,0,1,3;1,1,1,0,1,1;1,0,0,0,1,1;0,1,1,0,1,2;1,1,1,0,0,1;1,1,1,0,1,3;1,1,1,0,1,3
2	0,1,0,0,0,0	0,0,0,0,0,0;0,0,0,0,1,2;0,0,0,0,0,0;1,1,0,0,0,2;0,0,1,1,0,2;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,1,2;1,1,0,0,1,0;0,0,1,1,1,0;0,0,0,0,1,2;0,0,0,0,1,0;1,1,0,0,0,2;0,0,1,1,0,2;0,0,0,0,0,0;0,0,0,0,0,2;1,1,1,1,0,0;1,1,0,0,0,2;1,1,0,0,0,0;0,0,1,1,0,2;0,0,1,1,0,0;0,0,0,0,0,2;1,1,0,0,1,0;0,0,1,1,1,0;0,0,0,0,1,2;0,0,0,0,1,0;1,1,1,1,1,2;1,1,0,0,1,0;1,1,0,0,1,2;0,0,1,1,1,0;0,0,1,1,1,2;0,0,0,0,1,0;1,1,1,1,0,0;1,1,0,0,0,2;1,1,0,0,0,0;0,0,1,1,0,2;0,0,1,1,0,0;0,0,0,0,0,2;1,1,1,1,0,0;1,1,1,1,0,2;1,1,0,0,0,0;0,0,1,1,0,0;1,1,1,1,1,2;1,1,0,0,1,0;1,1,0,0,1,2;0,0,1,1,1,0;0,0,1,1,1,2;0,0,0,0,1,0;1,1,1,1,1,2;1,1,1,1,1,0;1,1,0,0,1,2;0,0,1,1,1,2;1,1,1,1,0,0;1,1,1,1,0,2;1,1,0,0,0,0;0,0,1,1,0,0;1,1,1,1,0,2;1,1,1,1,1,2;1,1,1,1,1,0;1,1,0,0,1,2;0,0,1,1,1,2;1,1,1,1,1,0;1,1,1,1,0,2;1,1,1,1,1,0
3	0,0,1,0,0,0	0,0,0,0,0,0;1,0,0,0,0,3;1,1,0,0,0,2;0,0,0,0,0,0;0,0,0,1,1,2;0,0,0,0,0,0;0,0,0,0,0,2;0,1,0,0,0,1;1,0,0,0,0,3;1,0,0,1,1,1;1,0,0,0,0,3;1,0,0,0,0,1;1,1,0,0,0,2;1,1,0,1,1,0;1,1,0,0,0,2;1,1,0,0,0,0;0,0,0,1,1,2;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,1,1,2;0,0,0,1,1,0;0,0,0,0,0,2;0,1,0,0,0,1;0,1,0,1,1,3;0,1,0,0,0,1;0,1,0,0,0,3;1,0,0,1,1,1;1,0,0,0,0,3;1,0,0,0,0,1;1,0,0,1,1,1;1,0,0,1,1,3;1,0,0,0,0,1;1,1,0,1,1,0;1,1,0,0,0,2;1,1,0,0,0,0;1,1,0,1,1,0;1,1,0,1,1,2;1,1,0,0,0,0;0,0,0,1,1,2;0,0,0,1,1,0;0,0,0,0,0,2;0,0,0,1,1,0;0,1,0,1,1,3;0,1,0,0,0,1;0,1,0,0,0,3;0,1,0,1,1,3;0,1,0,1,1,1;0,1,0,0,0,3;1,0,0,1,1,1;1,0,0,1,1,3;1,0,0,0,0,1;1,0,0,1,1,3;1,1,0,1,1,0;1,1,0,1,1,2;1,1,0,0,0,0;1,1,0,1,1,2;0,0,0,1,1,0;0,1,0,1,1,3;0,1,0,1,1,1;0,1,0,0,0,3;0,1,0,1,1,1;1,0,0,1,1,3;1,1,0,1,1,2;0,1,0,1,1,1
4	0,0,0,1,0,0	0,0,0,0,0,0;0,1,1,0,0,2;0,0,1,1,0,2;0,0,0,1,1,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,1,0,1,0,0;0,1,1,1,1,0;0,1,1,0,0,2;0,1,1,0,0,2;0,1,1,0,0,2;0,0,1,0,1,0;0,0,1,1,0,2;0,0,1,1,0,2;0,0,1,1,0,2;0,0,0,1,1,2;0,0,0,1,1,2;0,0,0,1,1,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,1,0,0,1,2;0,1,0,1,0,0;0,1,0,1,0,0;0,1,0,1,0,0;0,1,1,1,1,0;0,1,1,1,1,0;0,1,1,1,1,0;0,1,1,0,0,2;0,1,1,0,0,2;0,1,1,0,0,2;0,0,1,0,1,0;0,0,1,0,1,0;0,0,1,0,1,0;0,0,1,1,0,2;0,0,1,1,0,2;0,0,1,1,0,2;0,0,0,1,1,2;0,0,0,1,1,2;0,0,0,1,1,2;0,0,0,0,0,0;0,1,0,0,1,2;0,1,0,0,1,2;0,1,0,0,1,2;0,1,0,1,0,0;0,1,0,1,0,0;0,1,0,1,0,0;0,1,1,1,1,0;0,1,1,1,1,0;0,1,1,1,1,0;0,1,1,0,0,2;0,0,1,0,1,0;0,0,1,0,1,0;0,0,1,0,1,0;0,0,1,1,0,2;0,0,0,1,1,2;0,1,0,0,1,2;0,1,0,0,1,2;0,1,0,0,1,2;0,1,0,1,0,0;0,1,1,1,1,0;0,0,1,0,1,0;0,1,0,0,1,2
5	0,0,0,0,1,0	0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,2
6	0,0,0,0,0,1	0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0
7	1,1,0,0,0,0	0,0,0,0,0,0;0,0,0,0,1,2;0,0,0,0,1,2;0,1,0,0,0,3;0,1,0,1,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,1,0,0,1,1;0,1,0,1,1,2;0,0,0,0,1,0;0,0,0,0,1,0;0,1,0,0,1,1;0,1,0,1,1,2;0,0,0,0,1,0;0,0,0,0,1,0;0,0,0,1,0,3;0,1,0,0,0,1;0,1,0,0,0,1;0,1,0,1,0,2;0,1,0,1,0,2;0,0,0,0,0,0;0,1,0,0,0,3;0,1,0,1,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,1,1,1;0,1,0,0,1,3;0,1,0,0,1,3;0,1,0,1,1,0;0,1,0,1,1,0;0,0,0,0,1,2;0,0,0,1,1,1;0,1,0,0,1,3;0,1,0,0,1,3;0,1,0,1,1,0;0,1,0,1,1,0;0,0,0,0,1,2;0,0,0,1,0,1;0,0,0,1,0,1;0,1,0,0,0,3;0,1,0,1,0,0;0,0,0,1,0,3;0,1,0,0,0,1;0,1,0,0,0,1;0,1,0,1,0,2;0,1,0,1,0,2;0,0,0,0,0,0;0,0,0,1,1,3;0,0,0,1,1,3;0,1,0,0,1,1;0,1,0,1,1,2;0,0,0,1,1,3;0,0,0,1,1,3;0,1,0,0,1,1;0,1,0,1,1,2;0,0,0,1,0,3;0,0,0,1,0,1;0,0,0,1,0,1;0,1,0,0,0,3;0,1,0,1,0,0;0,0,0,1,1,1;0,0,0,1,1,1;0,0,0,1,0,3
8	1,0,1,0,0,0	0,0,0,0,0,0;1,0,0,0,0,3;1,1,0,0,1,0;1,0,0,0,0,1;0,1,1,1,1,0;0,0,0,0,0,2;0,0,0,0,0,2;0,1,0,0,1,3;0,0,0,0,0,0;1,1,1,1,1,3;1,0,0,0,0,1;1,0,0,0,0,1;0,1,0,0,1,1;1,0,1,1,0,0;1,1,0,0,1,2;1,1,0,0,1,2;1,1,1,1,1,1;1,0,0,0,0,3;1,0,0,0,0,3;0,1,1,1,1,2;0,1,1,1,1,2;0,0,0,0,0,0;1,1,0,0,1,0;0,0,1,1,0,3;0,1,0,0,1,1;0,1,0,0,1,1;0,1,1,1,1,0;0,0,0,0,0,2;0,0,0,0,0,2;1,1,1,1,1,1;1,1,1,1,1,1;1,0,0,0,0,3;0,0,1,1,0,1;0,1,0,0,1,3;0,1,0,0,1,3;1,0,1,1,0,2;1,0,1,1,0,2;1,1,0,0,1,0;1,1,1,1,1,3;1,1,1,1,1,3;1,0,0,0,0,1;0,1,1,1,1,0;1,0,1,1,0,0;1,1,0,0,1,2;1,1,0,0,1,2;0,0,1,1,0,1;0,0,1,1,0,1;0,1,0,0,1,3;0,1,1,1,1,2;0,1,1,1,1,2;0,0,0,0,0,0;1,1,1,1,1,3;0,0,1,1,0,3;0,0,1,1,0,3;0,1,0,0,1,1;1,0,1,1,0,0;1,1,1,1,1,1;1,0,1,1,0,2;1,0,1,1,0,2;1,1,0,0,1,0;0,0,1,1,0,3;0,1,1,1,1,0;0,0,1,1,0,1;1,0,1,1,0,0
9	1,0,0,1,0,0	0,0,0,0,0,0;0,1,1,0,0,2;0,0,1,1,1,0;1,0,0,1,1,3;0,1,1,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,1,0,1,1,2;1,1,1,1,1,1;0,0,0,0,0,0;0,1,1,0,0,0;0,1,1,0,0,2;1,0,1,0,0,3;0,1,0,1,1,2;0,0,1,1,1,2;0,0,1,1,1,0;1,1,1,1,1,1;1,0,0,1,1,1;1,0,0,1,1,3;0,1,1,0,0,0;0,1,1,0,0,2;0,0,0,0,0,2;1,1,0,0,0,1;0,0,1,1,1,0;0,1,0,1,1,0;0,1,0,1,1,2;1,0,0,1,1,3;1,1,1,1,1,3;1,1,1,1,1,1;0,0,0,0,0,2;0,0,0,0,0,0;0,1,1,0,0,0;1,1,0,0,0,1;1,0,1,0,0,1;1,0,1,0,0,3;0,1,0,1,1,0;0,1,0,1,1,2;0,0,1,1,1,2;1,1,1,1,1,3;1,1,1,1,1,1;1,0,0,1,1,1;0,1,1,0,0,0;1,0,1,0,0,3;1,1,0,0,0,3;1,1,0,0,0,1;0,0,1,1,1,2;0,0,1,1,1,0;0,1,0,1,1,0;1,0,0,1,1,1;1,0,0,1,1,3;1,1,1,1,1,3;0,0,0,0,0,2;1,1,0,0,0,3;1,1,0,0,0,1;1,0,1,0,0,1;0,1,0,1,1,0;1,1,1,1,1,3;1,0,1,0,0,1;1,0,1,0,0,3;1,1,0,0,0,3;0,0,1,1,1,2;1,0,0,1,1,1;1,1,0,0,0,3;1,0,1,0,0,1
