Q=SmallGroup(37,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=3 total_kernels=1
Q=SmallGroup(38,1) exterior=19 all_subgroups=2 normal_kernels=2 runtime_ms=504 total_kernels=3
Q=SmallGroup(38,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=3 total_kernels=4
Q=SmallGroup(39,1) exterior=13 all_subgroups=2 normal_kernels=2 runtime_ms=10 total_kernels=6
Q=SmallGroup(39,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=12 total_kernels=7
Q=SmallGroup(40,1) exterior=5 all_subgroups=2 normal_kernels=2 runtime_ms=14 total_kernels=9
Q=SmallGroup(40,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=4 total_kernels=10
Q=SmallGroup(40,3) exterior=5 all_subgroups=2 normal_kernels=2 runtime_ms=8 total_kernels=12
Q=SmallGroup(40,4) exterior=10 all_subgroups=4 normal_kernels=4 runtime_ms=16 total_kernels=16
Q=SmallGroup(40,5) exterior=10 all_subgroups=4 normal_kernels=4 runtime_ms=21 total_kernels=20
Q=SmallGroup(40,6) exterior=20 all_subgroups=6 normal_kernels=6 runtime_ms=23 total_kernels=26
Q=SmallGroup(40,7) exterior=10 all_subgroups=4 normal_kernels=4 runtime_ms=18 total_kernels=30
Q=SmallGroup(40,8) exterior=20 all_subgroups=6 normal_kernels=6 runtime_ms=19 total_kernels=36
Q=SmallGroup(40,9) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=18 total_kernels=38
Q=SmallGroup(40,10) exterior=4 all_subgroups=3 normal_kernels=3 runtime_ms=17 total_kernels=41
Q=SmallGroup(40,11) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=9 total_kernels=43
Q=SmallGroup(40,12) exterior=10 all_subgroups=4 normal_kernels=4 runtime_ms=24 total_kernels=47
Q=SmallGroup(40,13) exterior=40 all_subgroups=32 normal_kernels=32 runtime_ms=114 total_kernels=79
Q=SmallGroup(40,14) exterior=8 all_subgroups=16 normal_kernels=16 runtime_ms=96 total_kernels=95
Q=SmallGroup(41,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=5 total_kernels=96
Q=SmallGroup(42,1) exterior=7 all_subgroups=2 normal_kernels=2 runtime_ms=10 total_kernels=98
Q=SmallGroup(42,2) exterior=7 all_subgroups=2 normal_kernels=2 runtime_ms=7 total_kernels=100
Q=SmallGroup(42,3) exterior=3 all_subgroups=2 normal_kernels=2 runtime_ms=9 total_kernels=102
Q=SmallGroup(42,4) exterior=7 all_subgroups=2 normal_kernels=2 runtime_ms=10 total_kernels=104
Q=SmallGroup(42,5) exterior=21 all_subgroups=4 normal_kernels=4 runtime_ms=11 total_kernels=108
Q=SmallGroup(42,6) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=7 total_kernels=109
Q=SmallGroup(43,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=5 total_kernels=110
Q=SmallGroup(44,1) exterior=11 all_subgroups=2 normal_kernels=2 runtime_ms=39 total_kernels=112
Q=SmallGroup(44,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=4 total_kernels=113
Q=SmallGroup(44,3) exterior=22 all_subgroups=4 normal_kernels=4 runtime_ms=21 total_kernels=117
Q=SmallGroup(44,4) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=10 total_kernels=119
Q=SmallGroup(45,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=4 total_kernels=120
Q=SmallGroup(45,2) exterior=3 all_subgroups=2 normal_kernels=2 runtime_ms=15 total_kernels=122
Q=SmallGroup(46,1) exterior=23 all_subgroups=2 normal_kernels=2 runtime_ms=2572 total_kernels=124
Q=SmallGroup(46,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=3 total_kernels=125
Q=SmallGroup(47,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=2 total_kernels=126
Q=SmallGroup(48,1) exterior=3 all_subgroups=2 normal_kernels=2 runtime_ms=8 total_kernels=128
Q=SmallGroup(48,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=4 total_kernels=129
Q=SmallGroup(48,3) exterior=64 all_subgroups=61 normal_kernels=6 runtime_ms=160 total_kernels=135
