# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# Q_ORDER=64
# Q_ID=216
# STRUCTURE=((C4 x C2) : D8) : 1
# Q_PC_RELATIVE_ORDERS=2,2,2,2,2,2
# COVER_ORDER=4096
# PC_CONVERSION_KERNEL_ORDER=1
# COVER_TO_Q_KERNEL_ORDER=64
# COVER_KERNEL_CENTRAL=true
# COVER_KERNEL_IN_DERIVED=true
# EXTERIOR_ORDER=256
# EXTERIOR_RELATIVE_ORDERS=2,2,2,2,4,4
# ACTION_COUNT=12
# AUTOMORPHISM_GENERATOR_COUNT=11
# COMMUTATOR_ROW_COUNT=64
ACTIONS
action_index	image_vectors	q_conjugation
11	1,0,0,0,0,0;0,1,0,0,0,0;0,0,1,0,0,0;0,0,0,1,0,0;0,0,0,0,1,0;0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
12	1,0,0,0,0,0;0,1,0,0,0,0;0,0,1,0,0,0;0,0,0,1,0,0;0,0,0,0,1,0;0,0,0,0,0,1	0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
COMMUTATORS
vertex	q_exponents	commutator_vectors
0	0,0,0,0,0,0	0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0
1	1,0,0,0,0,0	0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,1,2,0;0,0,0,1,3,2;1,1,0,0,0,2;0,0,0,0,0,0;0,0,0,0,2,0;0,0,0,1,2,0;0,0,0,1,3,2;1,1,0,0,0,2;0,0,0,0,0,0;0,0,0,0,2,0;0,0,0,0,1,0;1,1,0,1,2,2;0,0,0,1,2,0;0,0,0,1,0,0;1,1,0,1,3,2;0,0,0,1,3,2;0,0,0,1,1,2;1,1,0,0,0,2;1,1,0,0,2,2;0,0,0,0,2,0;0,0,0,0,1,0;1,1,0,1,2,2;0,0,0,1,2,0;0,0,0,1,0,0;1,1,0,1,3,2;0,0,0,1,3,2;0,0,0,1,1,2;1,1,0,0,0,2;1,1,0,0,2,2;0,0,0,0,2,0;1,1,0,0,1,0;0,0,0,0,1,0;0,0,0,0,3,0;1,1,0,1,2,2;1,1,0,1,0,2;0,0,0,1,0,0;1,1,0,1,3,2;1,1,0,1,1,2;0,0,0,1,1,2;1,1,0,0,2,2;1,1,0,0,1,0;0,0,0,0,1,0;0,0,0,0,3,0;1,1,0,1,2,2;1,1,0,1,0,2;0,0,0,1,0,0;1,1,0,1,3,2;1,1,0,1,1,2;0,0,0,1,1,2;1,1,0,0,2,2;1,1,0,0,1,0;1,1,0,0,3,0;0,0,0,0,3,0;1,1,0,1,0,2;1,1,0,1,1,2;1,1,0,0,1,0;1,1,0,0,3,0;0,0,0,0,3,0;1,1,0,1,0,2;1,1,0,1,1,2;1,1,0,0,3,0;1,1,0,0,3,0
2	0,1,0,0,0,0	0,0,0,0,0,0;0,0,0,1,2,0;0,0,0,0,0,0;1,0,0,0,0,1;0,1,1,0,0,2;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,1,2,0;1,0,0,1,2,3;0,1,1,1,2,2;0,0,0,1,2,0;0,0,0,1,2,2;1,0,0,0,0,1;0,1,1,0,0,2;0,0,0,0,0,0;0,0,0,0,0,2;1,1,1,0,0,3;1,0,0,0,0,1;1,0,0,0,0,3;0,1,1,0,0,2;0,1,1,0,0,0;0,0,0,0,0,2;1,0,0,1,2,3;0,1,1,1,2,2;0,0,0,1,2,0;0,0,0,1,2,2;1,1,1,1,2,1;1,0,0,1,2,3;1,0,0,1,2,1;0,1,1,1,2,2;0,1,1,1,2,0;0,0,0,1,2,2;1,1,1,0,0,3;1,0,0,0,0,1;1,0,0,0,0,3;0,1,1,0,0,2;0,1,1,0,0,0;0,0,0,0,0,2;1,1,1,0,0,3;1,1,1,0,0,1;1,0,0,0,0,3;0,1,1,0,0,0;1,1,1,1,2,1;1,0,0,1,2,3;1,0,0,1,2,1;0,1,1,1,2,2;0,1,1,1,2,0;0,0,0,1,2,2;1,1,1,1,2,1;1,1,1,1,2,3;1,0,0,1,2,1;0,1,1,1,2,0;1,1,1,0,0,3;1,1,1,0,0,1;1,0,0,0,0,3;0,1,1,0,0,0;1,1,1,0,0,1;1,1,1,1,2,1;1,1,1,1,2,3;1,0,0,1,2,1;0,1,1,1,2,0;1,1,1,1,2,3;1,1,1,0,0,1;1,1,1,1,2,3
3	0,0,1,0,0,0	0,0,0,0,0,0;0,0,0,1,1,2;1,0,0,0,0,3;0,0,0,0,0,0;0,0,1,1,0,2;0,0,0,0,0,2;0,0,0,0,2,0;1,0,0,1,1,3;0,0,0,1,3,2;0,0,1,0,1,2;0,0,0,1,1,0;0,0,0,1,3,2;1,0,0,0,0,1;1,0,1,1,0,1;1,0,0,0,0,1;1,0,0,0,2,3;0,0,1,1,0,2;0,0,0,0,0,2;0,0,0,0,2,0;0,0,1,1,0,0;0,0,1,1,2,2;0,0,0,0,2,2;1,0,0,1,3,1;1,0,1,0,1,3;1,0,0,1,1,1;1,0,0,1,3,3;0,0,1,0,3,2;0,0,0,1,3,0;0,0,0,1,1,2;0,0,1,0,1,0;0,0,1,0,3,2;0,0,0,1,3,0;1,0,1,1,0,3;1,0,0,0,0,3;1,0,0,0,2,1;1,0,1,1,0,3;1,0,1,1,2,1;1,0,0,0,2,1;0,0,1,1,0,0;0,0,1,1,2,2;0,0,0,0,2,2;0,0,1,1,2,0;1,0,1,0,3,1;1,0,0,1,3,3;1,0,0,1,1,1;1,0,1,0,1,1;1,0,1,0,3,3;1,0,0,1,3,1;0,0,1,0,3,0;0,0,1,0,1,2;0,0,0,1,1,0;0,0,1,0,3,0;1,0,1,1,0,1;1,0,1,1,2,3;1,0,0,0,2,3;1,0,1,1,2,3;0,0,1,1,2,0;1,0,1,0,3,3;1,0,1,0,1,1;1,0,0,1,1,3;1,0,1,0,3,1;0,0,1,0,1,0;1,0,1,1,2,1;1,0,1,0,1,3
4	0,0,0,1,0,0	0,0,0,0,0,0;1,1,0,0,0,2;0,1,1,0,0,2;0,0,1,1,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;1,0,1,0,0,0;1,1,1,1,0,2;1,1,0,0,0,2;1,1,0,0,0,2;1,1,0,0,0,0;0,1,0,1,0,0;0,1,1,0,0,2;0,1,1,0,0,2;0,1,1,0,0,0;0,0,1,1,0,2;0,0,1,1,0,2;0,0,1,1,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;1,0,0,1,0,0;1,0,1,0,0,0;1,0,1,0,0,0;1,0,1,0,0,2;1,1,1,1,0,2;1,1,1,1,0,2;1,1,1,1,0,0;1,1,0,0,0,2;1,1,0,0,0,0;1,1,0,0,0,0;0,1,0,1,0,0;0,1,0,1,0,0;0,1,0,1,0,2;0,1,1,0,0,2;0,1,1,0,0,0;0,1,1,0,0,0;0,0,1,1,0,2;0,0,1,1,0,0;0,0,1,1,0,0;0,0,0,0,0,2;1,0,0,1,0,0;1,0,0,1,0,0;1,0,0,1,0,2;1,0,1,0,0,0;1,0,1,0,0,2;1,0,1,0,0,2;1,1,1,1,0,2;1,1,1,1,0,0;1,1,1,1,0,0;1,1,0,0,0,0;0,1,0,1,0,0;0,1,0,1,0,2;0,1,0,1,0,2;0,1,1,0,0,0;0,0,1,1,0,0;1,0,0,1,0,0;1,0,0,1,0,2;1,0,0,1,0,2;1,0,1,0,0,2;1,1,1,1,0,0;0,1,0,1,0,2;1,0,0,1,0,2
5	0,0,0,0,1,0	0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,0;0,0,0,0,0,2;0,0,0,0,0,2;0,0,0,0,0,2
