Q=SmallGroup(72,42) exterior=24 all_subgroups=15 normal_kernels=4 runtime_ms=44 total_kernels=362
Q=SmallGroup(72,43) exterior=216 all_subgroups=153 normal_kernels=13 runtime_ms=134 total_kernels=375
Q=SmallGroup(72,44) exterior=24 all_subgroups=12 normal_kernels=6 runtime_ms=63 total_kernels=381
Q=SmallGroup(72,45) exterior=54 all_subgroups=38 normal_kernels=6 runtime_ms=108 total_kernels=387
Q=SmallGroup(72,46) exterior=72 all_subgroups=96 normal_kernels=64 runtime_ms=377 total_kernels=451
Q=SmallGroup(72,47) exterior=24 all_subgroups=12 normal_kernels=6 runtime_ms=70 total_kernels=457
Q=SmallGroup(72,48) exterior=24 all_subgroups=32 normal_kernels=32 runtime_ms=167 total_kernels=489
Q=SmallGroup(72,49) exterior=216 all_subgroups=304 normal_kernels=112 runtime_ms=679 total_kernels=601
Q=SmallGroup(72,50) exterior=24 all_subgroups=32 normal_kernels=32 runtime_ms=341 total_kernels=633
Q=SmallGroup(73,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=8 total_kernels=634
Q=SmallGroup(74,1) exterior=37 all_subgroups=2 normal_kernels=2 runtime_ms=67426 total_kernels=636
Q=SmallGroup(74,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=6 total_kernels=637
Q=SmallGroup(75,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=9 total_kernels=638
Q=SmallGroup(75,2) exterior=125 all_subgroups=39 normal_kernels=3 runtime_ms=163 total_kernels=641
Q=SmallGroup(75,3) exterior=5 all_subgroups=2 normal_kernels=2 runtime_ms=27 total_kernels=643
Q=SmallGroup(76,1) exterior=19 all_subgroups=2 normal_kernels=2 runtime_ms=622 total_kernels=645
Q=SmallGroup(76,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=4 total_kernels=646
Q=SmallGroup(76,3) exterior=38 all_subgroups=4 normal_kernels=4 runtime_ms=910 total_kernels=650
Q=SmallGroup(76,4) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=16 total_kernels=652
Q=SmallGroup(77,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=8 total_kernels=653
Q=SmallGroup(78,1) exterior=13 all_subgroups=2 normal_kernels=2 runtime_ms=11 total_kernels=655
Q=SmallGroup(78,2) exterior=13 all_subgroups=2 normal_kernels=2 runtime_ms=11 total_kernels=657
Q=SmallGroup(78,3) exterior=3 all_subgroups=2 normal_kernels=2 runtime_ms=50 total_kernels=659
Q=SmallGroup(78,4) exterior=13 all_subgroups=2 normal_kernels=2 runtime_ms=23 total_kernels=661
Q=SmallGroup(78,5) exterior=39 all_subgroups=4 normal_kernels=4 runtime_ms=17 total_kernels=665
Q=SmallGroup(78,6) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=10 total_kernels=666
