# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# MAX_Q_ORDER=81
# IDENTITY=|Q_wedge_Q|=|M(Q)|*|Q'|
# NO_SCHUR_COVER_CONSTRUCTED=true
q_order	q_id	structure	q_abelian	q_elementary_abelian	q_exponent	q_derived_order	q_center_order	multiplier_order	multiplier_invariants	multiplier_generator_count	exterior_order	about_exterior_structure	runtime_ms
24	7	C2 x (C3 : C4)	false	false	12	3	4	2	2	1	6	extension_of_Qprime_by_multiplier	2
24	8	(C6 x C2) : C2	false	false	12	6	2	2	2	1	12	extension_of_Qprime_by_multiplier	2
24	9	C12 x C2	true	false	12	1	24	2	2	1	2	multiplier_is_exact_exterior_structure	2
24	10	C3 x D8	false	false	12	2	6	2	2	1	4	extension_of_Qprime_by_multiplier	2
24	11	C3 x Q8	false	false	12	2	6	1		0	2	extension_of_Qprime_by_multiplier	3
24	12	S4	false	false	12	12	1	2	2	1	24	extension_of_Qprime_by_multiplier	4
24	13	C2 x A4	false	false	6	4	2	2	2	1	8	extension_of_Qprime_by_multiplier	4
24	14	C2 x C2 x S3	false	false	6	3	4	8	2,2,2	3	24	extension_of_Qprime_by_multiplier	3
24	15	C6 x C2 x C2	true	false	6	1	24	8	2,2,2	3	8	multiplier_is_exact_exterior_structure	4
25	1	C25	true	false	25	1	25	1		0	1	multiplier_is_exact_exterior_structure	1
25	2	C5 x C5	true	true	5	1	25	5	5	1	5	multiplier_is_exact_exterior_structure	7
26	1	D26	false	false	26	13	1	1		0	13	extension_of_Qprime_by_multiplier	2
26	2	C26	true	false	26	1	26	1		0	1	multiplier_is_exact_exterior_structure	1
27	1	C27	true	false	27	1	27	1		0	1	multiplier_is_exact_exterior_structure	1
27	2	C9 x C3	true	false	9	1	27	3	3	1	3	multiplier_is_exact_exterior_structure	2
27	3	(C3 x C3) : C3	false	false	3	3	3	9	3,3	2	27	extension_of_Qprime_by_multiplier	3
27	4	C9 : C3	false	false	9	3	3	1		0	3	extension_of_Qprime_by_multiplier	1
27	5	C3 x C3 x C3	true	true	3	1	27	27	3,3,3	3	27	multiplier_is_exact_exterior_structure	2
28	1	C7 : C4	false	false	28	7	2	1		0	7	extension_of_Qprime_by_multiplier	1
28	2	C28	true	false	28	1	28	1		0	1	multiplier_is_exact_exterior_structure	2
28	3	D28	false	false	14	7	2	2	2	1	14	extension_of_Qprime_by_multiplier	4
28	4	C14 x C2	true	false	14	1	28	2	2	1	2	multiplier_is_exact_exterior_structure	3
29	1	C29	true	true	29	1	29	1		0	1	multiplier_is_exact_exterior_structure	0
30	1	C5 x S3	false	false	30	3	5	1		0	3	extension_of_Qprime_by_multiplier	2
30	2	C3 x D10	false	false	30	5	3	1		0	5	extension_of_Qprime_by_multiplier	2
30	3	D30	false	false	30	15	1	1		0	15	extension_of_Qprime_by_multiplier	3
30	4	C30	true	false	30	1	30	1		0	1	multiplier_is_exact_exterior_structure	2
31	1	C31	true	true	31	1	31	1		0	1	multiplier_is_exact_exterior_structure	1
32	1	C32	true	false	32	1	32	1		0	1	multiplier_is_exact_exterior_structure	4
32	2	(C4 x C2) : C4	false	false	4	2	8	8	2,2,2	3	16	extension_of_Qprime_by_multiplier	5
32	3	C8 x C4	true	false	8	1	32	4	4	1	4	multiplier_is_exact_exterior_structure	3
32	4	C8 : C4	false	false	8	2	8	2	2	1	4	extension_of_Qprime_by_multiplier	3
32	5	(C8 x C2) : C2	false	false	8	2	8	4	2,2	2	8	extension_of_Qprime_by_multiplier	5
32	6	(C2 x C2 x C2) : C4	false	false	4	4	2	4	2,2	2	16	extension_of_Qprime_by_multiplier	4
32	7	(C8 : C2) : C2	false	false	8	4	2	2	2	1	8	extension_of_Qprime_by_multiplier	4
32	8	C2 . ((C4 x C2) : C2) = (C2 x C2) . (C4 x C2)	false	false	8	4	2	2	2	1	8	extension_of_Qprime_by_multiplier	5
32	9	(C8 x C2) : C2	false	false	8	4	4	4	2,2	2	16	extension_of_Qprime_by_multiplier	4
32	10	Q8 : C4	false	false	8	4	4	2	2	1	8	extension_of_Qprime_by_multiplier	2
32	11	(C4 x C4) : C2	false	false	8	4	4	2	2	1	8	extension_of_Qprime_by_multiplier	2
32	12	C4 : C8	false	false	8	2	8	2	2	1	4	extension_of_Qprime_by_multiplier	4
32	13	C8 : C4	false	false	8	4	4	2	2	1	8	extension_of_Qprime_by_multiplier	6
32	14	C8 : C4	false	false	8	4	4	2	2	1	8	extension_of_Qprime_by_multiplier	3
32	15	C4 . D8 = C4 . (C4 x C2)	false	false	8	4	4	1		0	4	extension_of_Qprime_by_multiplier	4
32	16	C16 x C2	true	false	16	1	32	2	2	1	2	multiplier_is_exact_exterior_structure	4
32	17	C16 : C2	false	false	16	2	8	1		0	2	extension_of_Qprime_by_multiplier	3
32	18	D32	false	false	16	8	2	2	2	1	16	extension_of_Qprime_by_multiplier	6
32	19	QD32	false	false	16	8	2	1		0	8	extension_of_Qprime_by_multiplier	5
32	20	Q32	false	false	16	8	2	1		0	8	extension_of_Qprime_by_multiplier	5
32	21	C4 x C4 x C2	true	false	4	1	32	16	2,2,4	3	16	multiplier_is_exact_exterior_structure	4
32	22	C2 x ((C4 x C2) : C2)	false	false	4	2	8	16	2,2,2,2	4	32	extension_of_Qprime_by_multiplier	7
32	23	C2 x (C4 : C4)	false	false	4	2	8	8	2,2,2	3	16	extension_of_Qprime_by_multiplier	3
32	24	(C4 x C4) : C2	false	false	4	2	8	8	2,4	2	16	extension_of_Qprime_by_multiplier	6
32	25	C4 x D8	false	false	4	2	8	8	2,2,2	3	16	extension_of_Qprime_by_multiplier	3
32	26	C4 x Q8	false	false	4	2	8	4	2,2	2	8	extension_of_Qprime_by_multiplier	3
32	27	(C2 x C2 x C2 x C2) : C2	false	false	4	4	4	16	2,2,2,2	4	64	extension_of_Qprime_by_multiplier	5
32	28	(C4 x C2 x C2) : C2	false	false	4	4	4	8	2,2,2	3	32	extension_of_Qprime_by_multiplier	5
32	29	(C2 x Q8) : C2	false	false	4	4	4	4	2,2	2	16	extension_of_Qprime_by_multiplier	7
32	30	(C4 x C2 x C2) : C2	false	false	4	4	4	4	2,2	2	16	extension_of_Qprime_by_multiplier	5
32	31	(C4 x C4) : C2	false	false	4	4	4	8	2,4	2	32	extension_of_Qprime_by_multiplier	3
32	32	(C2 x C2) . (C2 x C2 x C2)	false	false	4	4	4	2	2	1	8	extension_of_Qprime_by_multiplier	6
32	33	(C4 x C4) : C2	false	false	4	4	4	2	2	1	8	extension_of_Qprime_by_multiplier	4
32	34	(C4 x C4) : C2	false	false	4	4	4	16	2,2,4	3	64	extension_of_Qprime_by_multiplier	5
32	35	C4 : Q8	false	false	4	4	4	4	2,2	2	16	extension_of_Qprime_by_multiplier	4
32	36	C8 x C2 x C2	true	false	8	1	32	8	2,2,2	3	8	multiplier_is_exact_exterior_structure	2
