Q=SmallGroup(1,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=1 total_kernels=1
Q=SmallGroup(2,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=2 total_kernels=2
Q=SmallGroup(3,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=2 total_kernels=3
Q=SmallGroup(4,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=1 total_kernels=4
Q=SmallGroup(4,2) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=4 total_kernels=6
Q=SmallGroup(5,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=1 total_kernels=7
Q=SmallGroup(6,1) exterior=3 all_subgroups=2 normal_kernels=2 runtime_ms=4 total_kernels=9
Q=SmallGroup(6,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=2 total_kernels=10
Q=SmallGroup(7,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=1 total_kernels=11
Q=SmallGroup(8,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=2 total_kernels=12
Q=SmallGroup(8,2) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=8 total_kernels=14
Q=SmallGroup(8,3) exterior=4 all_subgroups=3 normal_kernels=3 runtime_ms=11 total_kernels=17
Q=SmallGroup(8,4) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=3 total_kernels=19
Q=SmallGroup(8,5) exterior=8 all_subgroups=16 normal_kernels=16 runtime_ms=68 total_kernels=35
Q=SmallGroup(9,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=2 total_kernels=36
Q=SmallGroup(9,2) exterior=3 all_subgroups=2 normal_kernels=2 runtime_ms=9 total_kernels=38
Q=SmallGroup(10,1) exterior=5 all_subgroups=2 normal_kernels=2 runtime_ms=6 total_kernels=40
Q=SmallGroup(10,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=1 total_kernels=41
Q=SmallGroup(11,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=1 total_kernels=42
Q=SmallGroup(12,1) exterior=3 all_subgroups=2 normal_kernels=2 runtime_ms=3 total_kernels=44
Q=SmallGroup(12,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=2 total_kernels=45
Q=SmallGroup(12,3) exterior=8 all_subgroups=6 normal_kernels=3 runtime_ms=9 total_kernels=48
Q=SmallGroup(12,4) exterior=6 all_subgroups=4 normal_kernels=4 runtime_ms=9 total_kernels=52
Q=SmallGroup(12,5) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=14 total_kernels=54
Q=SmallGroup(13,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=2 total_kernels=55
Q=SmallGroup(14,1) exterior=7 all_subgroups=2 normal_kernels=2 runtime_ms=3 total_kernels=57
Q=SmallGroup(14,2) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=1 total_kernels=58
Q=SmallGroup(15,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=2 total_kernels=59
Q=SmallGroup(16,1) exterior=1 all_subgroups=1 normal_kernels=1 runtime_ms=2 total_kernels=60
Q=SmallGroup(16,2) exterior=4 all_subgroups=3 normal_kernels=3 runtime_ms=26 total_kernels=63
Q=SmallGroup(16,3) exterior=8 all_subgroups=8 normal_kernels=6 runtime_ms=21 total_kernels=69
Q=SmallGroup(16,4) exterior=4 all_subgroups=3 normal_kernels=3 runtime_ms=12 total_kernels=72
Q=SmallGroup(16,5) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=13 total_kernels=74
Q=SmallGroup(16,6) exterior=2 all_subgroups=2 normal_kernels=2 runtime_ms=4 total_kernels=76
