# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# SCOPE=literature_candidates_beyond_order_81_only
# CUTOFF8_GRAPH_SCAN_PERFORMED=false
# NAMED_CONSTRUCTIONS_VERIFIED=true
label	q_order	q_id	structure	q_noncommuting_adjacency	q_center_order	q_derived_order	multiplier_invariants	multiplier_order	exterior_order_identity	cover_order	cover_kernel_order	cover_kernel_central	cover_kernel_in_derived	exterior_order_constructed	exterior_structure	exterior_abelian	exterior_generator_count	selected_cover_center_image_size	nonidentity_center_image_positions	explicit_nonidentity_zero_row_available	all_exterior_subgroup_count	normal_kernel_count	direct_cutoff8_scan_feasibility	cover_ms	pc_ms	all_subgroups_ms	normal_filter_ms
diagonal_C2_4_semidirect_S3	96	227	(C2 x C2) : S4	0,79218486385340937681638391804,79228162514264337593543946234,30328931221944006282628431750,69315570533683712146320523014,69315570533683712146320523014,30328931221944006282628431750,79228162514228308796423274318,79228157788439090210073869566,79228157788439090210073869566,79228157791033163595439272958,79228157791033163595439272958,79228162514264337593543946234,79228162509652651575116554238,79228162514264337576364064766,79228162514264337456104964094,79228162366690385003867471870,79218486381017218148515049604,79228157791897590841099812742,30328931221944006282628431750,69315570533683712146320523014,79228157791897590841099812742,79218486381017218148515049604,79228124735329941361582931894,79227558051341019480056659918,79228162514228308796423274318,79228162514228308796423274318,79223326810769706294596075470,79218486385340937681638391804,79228157791897854715841347582,79228157791897854715841347582,79228157791897854715841347582,79228157791897854715841347582,79218486385340937681638391804,79228162514264337576364064766,79228162514264337284306305022,79228162514264328728731451390,79228162514264337456104964094,79228162514264337284306305022,79189476888036668910197538814,59421121885698252095646334974,79228162495817591320811143166,79150791261808996928316243966,79228162514264328728731451390,79228157791897590841099812742,79228157791897590841099812742,79228157791897590841099812742,79228157791897590841099812742,79228124735329941361582931894,77990061914517976800753614774,76751961314771616007963803574,79228124735329941361582931894,79227558051341019480056659918,79227558051341019480056659918,69321015422504437108316307406,79228162514228308796423274318,79223326810769706294596075470,79223326810769706294596075470,79228157791033163595439272958,79228157791033163595439272958,79228157788439090210073869566,79228157788439090210073869566,79228162509652651575116554238,79228160143857724121866567678,79228162495817591320811143166,78918677467549504377400066046,79228162145329456119352918014,79228162366690385003867471870,79228162145329456119352918014,79073419419057854700475908094,79208818520558882809337348094,79228160143857724121866567678,79218486381017218148515049604,77990061914517976800753614774,76751961314771616007963803574,79228124735329941361582931894,34043275522484231645401972662,77990061914517976800753614774,76751961314771616007963803574,79227558051341019480056659918,69321015422504437108316307406,69321015422504437108316307406,79223326810769706294596075470,79218486385340937681638391804,79208818520558882809337348094,79189476888036668910197538814,79150791261808996928316243966,79073419419057854700475908094,78918677467549504377400066046,34043275522484231645401972662,77990061914517976800753614774,76751961314771616007963803574,34043275522484231645401972662,69321015422504437108316307406,59421121885698252095646334974,34043275522484231645401972662	1	48	2,2,2	8	384	768	8	true	true	384	((C2 x Q8) : Q8) : C3	false	3	1		false	777	24	direct_small	0	76	276	4
C3_2_times_A4	108	41	C3 x C3 x A4	0,324517934535962609498780022040112,0,0,321982672173429855464124505917378,321982672173429855464124505917378,324517934535962609498780022040112,324517934535962609498780022040112,324517934535962609498780022040112,101129794884214935659549890143730,319119891685390457139073424253938,0,0,321982672173429855464124505917378,321982672173429855464124505917378,0,321982672173429855464124505917378,321982672173429855464124505917378,321982672173429855464124505917378,324517934535962609498780022040112,324517934535962609498780022040112,319119891685390457139073424253938,231323921354706743528009716688882,324517934535962609498780022040112,324517934535962609498780022040112,101129794884214935659549890143730,319119891685390457139073424253938,324517934535962609498780022040112,101129794884214935659549890143730,319119891685390457139073424253938,231323921354706743528009716688882,0,321982672173429855464124505917378,321982672173429855464124505917378,0,321982672173429855464124505917378,321982672173429855464124505917378,321982672173429855464124505917378,321982672173429855464124505917378,321982672173429855464124505917378,321982672173429855464124505917378,324517934535962609498780022040112,324517934535962609498780022040112,319119891685390457139073424253938,231323921354706743528009716688882,324517934535962609498780022040112,319119891685390457139073424253938,231323921354706743528009716688882,101129794884214935659549890143730,324517934535962609498780022040112,101129794884214935659549890143730,319119891685390457139073424253938,324517934535962609498780022040112,101129794884214935659549890143730,319119891685390457139073424253938,231323921354706743528009716688882,101129794884214935659549890143730,319119891685390457139073424253938,231323921354706743528009716688882,0,321982672173429855464124505917378,321982672173429855464124505917378,321982672173429855464124505917378,321982672173429855464124505917378,321982672173429855464124505917378,321982672173429855464124505917378,321982672173429855464124505917378,324517934535962609498780022040112,319119891685390457139073424253938,231323921354706743528009716688882,324517934535962609498780022040112,319119891685390457139073424253938,231323921354706743528009716688882,101129794884214935659549890143730,319119891685390457139073424253938,231323921354706743528009716688882,101129794884214935659549890143730,324517934535962609498780022040112,101129794884214935659549890143730,319119891685390457139073424253938,231323921354706743528009716688882,101129794884214935659549890143730,319119891685390457139073424253938,231323921354706743528009716688882,231323921354706743528009716688882,321982672173429855464124505917378,321982672173429855464124505917378,321982672173429855464124505917378,321982672173429855464124505917378,324517934535962609498780022040112,319119891685390457139073424253938,231323921354706743528009716688882,101129794884214935659549890143730,319119891685390457139073424253938,231323921354706743528009716688882,101129794884214935659549890143730,101129794884214935659549890143730,101129794884214935659549890143730,319119891685390457139073424253938,231323921354706743528009716688882,231323921354706743528009716688882,321982672173429855464124505917378,319119891685390457139073424253938,231323921354706743528009716688882,101129794884214935659549890143730,101129794884214935659549890143730,231323921354706743528009716688882,101129794884214935659549890143730	9	4	2,3,3,3	54	216	5832	54	true	true	216	C3 x C3 x C3 x Q8	false	3	1		false	168	84	direct_small	0	5124	145	3
C2_3_times_generalized_dihedral_C3_2	144	196	C2 x C2 x C2 x ((C3 x C3) : C2)	0,22300745198530623141535718254633893958175840,0,0,0,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,22300745198530623141535718254633893958175840,22300745198530623141535718254633893958175840,22300745198530623141535718254633893958175840,22300745198530621903595674195438011613629410,22300745198530620665655630118227730440832994,0,0,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,0,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,22300745198530623141535718254633893958175840,22300745198530623141535718254633893958175840,22300745198530621903595674195438011613629410,22300745198530620665655630118227730440832994,22300745198530623141535718254633893958175840,22300745198530621903595674195438011613629410,22300745198530620665655630118227730440832994,22300745198530621903595674195438011613629410,22300745198530620665655630118227730440832994,22300743869301315140178036268592415155081186,22300742540072007138820354264536537523736546,22300739881613391136104990256424782261047266,0,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,22300745198530623141535718254633893958175840,22300745198530621903595674195438011613629410,22300745198530620665655630118227730440832994,22300745198530621903595674195438011613629410,22300745198530620665655630118227730440832994,22300743869301315140178036268592415155081186,22300742540072007138820354264536537523736546,22300739881613391136104990256424782261047266,22300745198530621903595674195438011613629410,22300745198530620665655630118227730440832994,22300743869301315140178036268592415155081186,22300742540072007138820354264536537523736546,22300739881613391136104990256424782261047266,22300743869301315140178036268592415155081186,22300742540072007138820354264536537523736546,22300739881613391136104990256424782261047266,22126127175129327376483724121722424764846050,21951509151728031611431729970796556743266274,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,22300745198530621903595674195438011613629410,22300745198530620665655630118227730440832994,22300743869301315140178036268592415155081186,22300742540072007138820354264536537523736546,22300739881613391136104990256424782261047266,22300743869301315140178036268592415155081186,22300742540072007138820354264536537523736546,22300739881613391136104990256424782261047266,22126127175129327376483724121722424764846050,21951509151728031611431729970796556743266274,22300743869301315140178036268592415155081186,22300742540072007138820354264536537523736546,22300739881613391136104990256424782261047266,22126127175129327376483724121722424764846050,21951509151728031611431729970796556743266274,22126127175129327376483724121722424764846050,21951509151728031611431729970796556743266274,6267831057337966750934415218197807841071074,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,22300743869301315140178036268592415155081186,22300742540072007138820354264536537523736546,22300739881613391136104990256424782261047266,22126127175129327376483724121722424764846050,21951509151728031611431729970796556743266274,22126127175129327376483724121722424764846050,21951509151728031611431729970796556743266274,6267831057337966750934415218197807841071074,22126127175129327376483724121722424764846050,21951509151728031611431729970796556743266274,6267831057337966750934415218197807841071074,6267831057337966750934415218197807841071074,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,16556777516001703409081191785264474776145794,22126127175129327376483724121722424764846050,21951509151728031611431729970796556743266274,6267831057337966750934415218197807841071074,6267831057337966750934415218197807841071074,6267831057337966750934415218197807841071074,16556777516001703409081191785264474776145794,6267831057337966750934415218197807841071074	8	9	2,2,2,2,2,2,3	192	1728	27648	192	true	true	1728	C2 x C2 x C2 x C2 x C2 x C2 x ((C3 x C3) : C3)	false	6	1		false	53675	19775	direct_batched	0	12978	43895	2135
