group_id	structure	center_size	coset_count	is_ac	adjacency
SmallGroup(128,582)	(C2 x C2) : (C4 : C8)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,601)	(C2 x C2) : ((C8 x C2) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,648)	(C4 : C4) : C8	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,655)	((C4 x C2) : C2) : C8	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,671)	C4 : (C4 : C8)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,686)	C4 : ((C8 x C2) : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,716)	(C2 x Q8) : C8	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,837)	C16 x C4 x C2	128	1	true	
SmallGroup(128,838)	C2 x (C16 : C4)	32	4	true	;3,4;2,4;2,3
SmallGroup(128,839)	C4 x (C16 : C2)	32	4	true	;3,4;2,4;2,3
SmallGroup(128,840)	(C16 : C2) : C4	32	4	true	;3,4;2,4;2,3
SmallGroup(128,841)	C2 x (C16 : C4)	8	16	false	;3,5,7,8,9,10,11,12,13,14,15,16;2,4,6,8,9,10,11,12,13,14,15,16;3,7,9,11,13,14,15,16;2,6,9,10,12,14,15,16;3,5,7,8,9,10,11,12,13,14,15,16;2,4,6,8,9,10,11,12,13,14,15,16;2,3,6,7,10,11,12,13;2,3,4,5,6,7,10,11,12,13,15,16;2,3,5,6,7,8,9,11,13,14,15,16;2,3,4,6,7,8,9,10,12,14,15,16;2,3,5,6,7,8,9,11,13,14,15,16;2,3,4,6,7,8,9,10,12,14,15,16;2,3,4,5,6,7,10,11,12,13,15,16;2,3,4,5,6,7,9,10,11,12,13,14;2,3,4,5,6,7,9,10,11,12,13,14
SmallGroup(128,842)	(C16 x C2) : C4	8	16	false	;3,5,7,8,9,10,11,12,13,14,15,16;2,4,6,8,9,10,11,12,13,14,15,16;3,7,9,11,13,14,15,16;2,6,9,10,12,14,15,16;3,5,7,8,9,10,11,12,13,14,15,16;2,4,6,8,9,10,11,12,13,14,15,16;2,3,6,7,10,11,12,13;2,3,4,5,6,7,10,11,12,13,15,16;2,3,5,6,7,8,9,11,13,14,15,16;2,3,4,6,7,8,9,10,12,14,15,16;2,3,5,6,7,8,9,11,13,14,15,16;2,3,4,6,7,8,9,10,12,14,15,16;2,3,4,5,6,7,10,11,12,13,15,16;2,3,4,5,6,7,9,10,11,12,13,14;2,3,4,5,6,7,9,10,11,12,13,14
SmallGroup(128,843)	C2 x ((C2 x C2) : C16)	32	4	true	;3,4;2,4;2,3
SmallGroup(128,844)	(C2 x C2) : (C16 : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,845)	((C2 x C2) : C16) : C2	16	8	true	;3,6,7,8;2,4,5,6,7,8;3,6,7,8;3,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,846)	C2 x ((C16 : C2) : C2)	8	16	false	;3,4,7,8,9,10,11,12,13,14,15,16;2,5,6,8,9,10,11,12,13,14,15,16;2,6,9,10,11,12,14,16;3,7,9,10,11,13,15,16;3,4,7,8,9,10,11,12,13,14,15,16;2,5,6,8,9,10,11,12,13,14,15,16;2,3,6,7,12,13,14,15;2,3,4,5,6,7,11,12,13,14,15,16;2,3,4,5,6,7,11,12,13,14,15,16;2,3,4,5,6,7,9,10,12,13,14,15;2,3,4,6,7,8,9,10,11,13,15,16;2,3,5,6,7,8,9,10,11,12,14,16;2,3,4,6,7,8,9,10,11,13,15,16;2,3,5,6,7,8,9,10,11,12,14,16;2,3,4,5,6,7,9,10,12,13,14,15
SmallGroup(128,847)	((C16 : C2) : C2) : C2	8	16	false	;3,4,7,8,9,10,11,12,13,14,15,16;2,5,6,8,9,10,11,12,13,14,15,16;2,6,9,10,11,12,14,16;3,7,9,10,11,13,15,16;3,4,7,8,9,10,11,12,13,14,15,16;2,5,6,8,9,10,11,12,13,14,15,16;2,3,6,7,12,13,14,15;2,3,4,5,6,7,11,12,13,14,15,16;2,3,4,5,6,7,11,12,13,14,15,16;2,3,4,5,6,7,9,10,12,13,14,15;2,3,4,6,7,8,9,10,11,13,15,16;2,3,5,6,7,8,9,10,11,12,14,16;2,3,4,6,7,8,9,10,11,13,15,16;2,3,5,6,7,8,9,10,11,12,14,16;2,3,4,5,6,7,9,10,12,13,14,15
SmallGroup(128,848)	C2 x ((C16 x C2) : C2)	16	8	true	;3,6,7,8;2,4,5,6,7,8;3,6,7,8;3,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,849)	(C16 : C2) : (C2 x C2)	8	16	false	;3,4,7,8,9,10,11,12,13,14,15,16;2,5,6,8,9,10,11,12,13,14,15,16;2,6,9,10,12,14,15,16;3,7,9,11,13,14,15,16;3,4,7,8,9,10,11,12,13,14,15,16;2,5,6,8,9,10,11,12,13,14,15,16;2,3,6,7,10,11,12,13;2,3,4,5,6,7,10,11,12,13,15,16;2,3,4,6,7,8,9,11,13,14,15,16;2,3,5,6,7,8,9,10,12,14,15,16;2,3,4,6,7,8,9,11,13,14,15,16;2,3,5,6,7,8,9,10,12,14,15,16;2,3,4,5,6,7,10,11,12,13,15,16;2,3,4,5,6,7,9,10,11,12,13,14;2,3,4,5,6,7,9,10,11,12,13,14
SmallGroup(128,881)	C2 x (C4 : C16)	32	4	true	;3,4;2,4;2,3
SmallGroup(128,882)	C4 : (C16 : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,883)	(C4 : C16) : C2	16	8	true	;3,6,7,8;2,4,5,6,7,8;3,6,7,8;3,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,884)	C2 x (C8 . D8 = C4 . (C8 x C2))	16	8	true	;3,4,5,6,7,8;2,5,7,8;2,5,7,8;2,3,4,6,7,8;2,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,885)	(C8 . D8 = C4 . (C8 x C2)) : C2	8	16	false	;3,5,6,8,9,10,11,12,13,14,15,16;2,4,6,7,9,10,11,12,13,14,15,16;3,6,8,10,12,13,15,16;2,6,7,10,11,13,14,16;2,3,4,5,7,8,10,11,12,13,14,15;3,5,6,8,9,10,11,12,13,14,15,16;2,4,6,7,9,10,11,12,13,14,15,16;2,3,7,8,11,12,14,15;2,3,4,5,6,7,8,11,12,14,15,16;2,3,5,6,7,8,9,10,12,13,15,16;2,3,4,6,7,8,9,10,11,13,14,16;2,3,4,5,6,7,8,11,12,14,15,16;2,3,5,6,7,8,9,10,12,13,15,16;2,3,4,6,7,8,9,10,11,13,14,16;2,3,4,5,7,8,10,11,12,13,14,15
SmallGroup(128,894)	(C4 x C2) : C16	32	4	true	;3,4;2,4;2,3
SmallGroup(128,895)	(C4 : C16) : C2	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,896)	(C4 : C16) : C2	16	8	true	;3,6,7,8;2,4,5,6,7,8;3,6,7,8;3,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,899)	C16 x D8	32	4	true	;3,4;2,4;2,3
SmallGroup(128,900)	(C2 x C2) : (C16 : C2)	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,901)	C4 : (C16 : C2)	16	8	true	;3,4,5,6,7,8;2,4,5,6,7,8;2,3,6,7;2,3,6,7;2,3,4,5,7,8;2,3,4,5,6,8;2,3,6,7
SmallGroup(128,902)	((C16 x C2) : C2) : C2	16	8	true	;3,4,5,6,7,8;2,4,5,6,7,8;2,3,7,8;2,3,7,8;2,3,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,903)	((C16 x C2) : C2) : C2	8	16	false	;3,4,5,6,8,9,10,12,13,14,15,16;2,5,7,8,9,10,11,12,13,14,15,16;2,8,9,10,11,12,13,16;2,3,6,11,12,13,14,15;2,5,7,8,9,10,11,12,13,14,15,16;3,6,8,9,10,14,15,16;2,3,4,6,7,9,10,11,12,13,14,15;2,3,4,6,7,8,11,12,13,14,15,16;2,3,4,6,7,8,11,12,13,14,15,16;3,4,5,6,8,9,10,12,13,14,15,16;2,3,4,5,6,8,9,10,11,14,15,16;2,3,4,5,6,8,9,10,11,14,15,16;2,3,5,6,7,8,9,10,11,12,13,16;2,3,5,6,7,8,9,10,11,12,13,16;2,3,4,6,7,9,10,11,12,13,14,15
SmallGroup(128,914)	C16 x Q8	32	4	true	;3,4;2,4;2,3
SmallGroup(128,915)	C16 : Q8	16	8	true	;3,4,5,6,7,8;2,6,7,8;2,6,7,8;2,6,7,8;2,3,4,5,7,8;2,3,4,5,6,8;2,3,4,5,6,7
SmallGroup(128,988)	C32 x C2 x C2	128	1	true	
SmallGroup(128,989)	C2 x (C32 : C2)	32	4	true	;3,4;2,4;2,3
SmallGroup(128,990)	(C32 : C2) : C2	32	4	true	;3,4;2,4;2,3
SmallGroup(128,997)	C4 x C4 x C4 x C2	128	1	true	
SmallGroup(128,998)	C2 x C2 x ((C4 x C2) : C4)	32	4	true	;3,4;2,4;2,3
SmallGroup(128,999)	C2 x ((C4 x C4) : C4)	32	4	true	;3,4;2,4;2,3
SmallGroup(128,1000)	C2 x C4 x ((C4 x C2) : C2)	32	4	true	;3,4;2,4;2,3
SmallGroup(128,1001)	C2 x C4 x (C4 : C4)	32	4	true	;3,4;2,4;2,3
SmallGroup(128,1002)	C4 x ((C4 x C4) : C2)	32	4	true	;3,4;2,4;2,3
