Q=SmallGroup(25,2) exterior=5 all_subgroups=2 normal_kernels=2 total=3116
Q=SmallGroup(26,1) exterior=13 all_subgroups=2 normal_kernels=2 total=3118
Q=SmallGroup(26,2) exterior=1 all_subgroups=1 normal_kernels=1 total=3119
Q=SmallGroup(27,1) exterior=1 all_subgroups=1 normal_kernels=1 total=3120
Q=SmallGroup(27,2) exterior=3 all_subgroups=2 normal_kernels=2 total=3122
Q=SmallGroup(27,3) exterior=27 all_subgroups=28 normal_kernels=7 total=3129
Q=SmallGroup(27,4) exterior=3 all_subgroups=2 normal_kernels=2 total=3131
Q=SmallGroup(27,5) exterior=27 all_subgroups=28 normal_kernels=28 total=3159
Q=SmallGroup(28,1) exterior=7 all_subgroups=2 normal_kernels=2 total=3161
Q=SmallGroup(28,2) exterior=1 all_subgroups=1 normal_kernels=1 total=3162
Q=SmallGroup(28,3) exterior=14 all_subgroups=4 normal_kernels=4 total=3166
Q=SmallGroup(28,4) exterior=2 all_subgroups=2 normal_kernels=2 total=3168
Q=SmallGroup(29,1) exterior=1 all_subgroups=1 normal_kernels=1 total=3169
Q=SmallGroup(30,1) exterior=3 all_subgroups=2 normal_kernels=2 total=3171
Q=SmallGroup(30,2) exterior=5 all_subgroups=2 normal_kernels=2 total=3173
Q=SmallGroup(30,3) exterior=15 all_subgroups=4 normal_kernels=4 total=3177
Q=SmallGroup(30,4) exterior=1 all_subgroups=1 normal_kernels=1 total=3178
Q=SmallGroup(31,1) exterior=1 all_subgroups=1 normal_kernels=1 total=3179
Q=SmallGroup(32,1) exterior=1 all_subgroups=1 normal_kernels=1 total=3180
Q=SmallGroup(32,2) exterior=16 all_subgroups=27 normal_kernels=17 total=3197
Q=SmallGroup(32,3) exterior=4 all_subgroups=3 normal_kernels=3 total=3200
Q=SmallGroup(32,4) exterior=4 all_subgroups=3 normal_kernels=3 total=3203
Q=SmallGroup(32,5) exterior=8 all_subgroups=8 normal_kernels=6 total=3209
Q=SmallGroup(32,6) exterior=16 all_subgroups=27 normal_kernels=9 total=3218
Q=SmallGroup(32,7) exterior=8 all_subgroups=8 normal_kernels=6 total=3224
Q=SmallGroup(32,8) exterior=8 all_subgroups=8 normal_kernels=6 total=3230
Q=SmallGroup(32,9) exterior=16 all_subgroups=11 normal_kernels=9 total=3239
Q=SmallGroup(32,10) exterior=8 all_subgroups=8 normal_kernels=6 total=3245
Q=SmallGroup(32,11) exterior=8 all_subgroups=8 normal_kernels=6 total=3251
Q=SmallGroup(32,12) exterior=4 all_subgroups=3 normal_kernels=3 total=3254
Q=SmallGroup(32,13) exterior=8 all_subgroups=4 normal_kernels=4 total=3258
Q=SmallGroup(32,14) exterior=8 all_subgroups=4 normal_kernels=4 total=3262
Q=SmallGroup(32,15) exterior=4 all_subgroups=3 normal_kernels=3 total=3265
Q=SmallGroup(32,16) exterior=2 all_subgroups=2 normal_kernels=2 total=3267
Q=SmallGroup(32,17) exterior=2 all_subgroups=2 normal_kernels=2 total=3269
Q=SmallGroup(32,18) exterior=16 all_subgroups=5 normal_kernels=5 total=3274
Q=SmallGroup(32,19) exterior=8 all_subgroups=4 normal_kernels=4 total=3278
Q=SmallGroup(32,20) exterior=8 all_subgroups=4 normal_kernels=4 total=3282
Q=SmallGroup(32,21) exterior=16 all_subgroups=27 normal_kernels=27 total=3309
Q=SmallGroup(32,22) exterior=32 all_subgroups=118 normal_kernels=78 total=3387
Q=SmallGroup(32,23) exterior=16 all_subgroups=27 normal_kernels=27 total=3414
Q=SmallGroup(32,24) exterior=16 all_subgroups=27 normal_kernels=19 total=3433
Q=SmallGroup(32,25) exterior=16 all_subgroups=27 normal_kernels=27 total=3460
Q=SmallGroup(32,26) exterior=8 all_subgroups=16 normal_kernels=16 total=3476
Q=SmallGroup(32,27) exterior=64 all_subgroups=249 normal_kernels=105 total=3581
Q=SmallGroup(32,28) exterior=32 all_subgroups=54 normal_kernels=46 total=3627
Q=SmallGroup(32,29) exterior=16 all_subgroups=27 normal_kernels=27 total=3654
Q=SmallGroup(32,30) exterior=16 all_subgroups=27 normal_kernels=27 total=3681
Q=SmallGroup(32,31) exterior=32 all_subgroups=54 normal_kernels=30 total=3711
Q=SmallGroup(32,32) exterior=8 all_subgroups=16 normal_kernels=16 total=3727
Q=SmallGroup(32,33) exterior=8 all_subgroups=16 normal_kernels=16 total=3743
Q=SmallGroup(32,34) exterior=64 all_subgroups=129 normal_kernels=65 total=3808
Q=SmallGroup(32,35) exterior=16 all_subgroups=27 normal_kernels=27 total=3835
Q=SmallGroup(32,36) exterior=8 all_subgroups=16 normal_kernels=16 total=3851
Q=SmallGroup(32,37) exterior=8 all_subgroups=16 normal_kernels=16 total=3867
Q=SmallGroup(32,38) exterior=8 all_subgroups=16 normal_kernels=16 total=3883
Q=SmallGroup(32,39) exterior=32 all_subgroups=38 normal_kernels=38 total=3921
Q=SmallGroup(32,40) exterior=16 all_subgroups=27 normal_kernels=27 total=3948
Q=SmallGroup(32,41) exterior=16 all_subgroups=27 normal_kernels=27 total=3975
Q=SmallGroup(32,42) exterior=16 all_subgroups=27 normal_kernels=27 total=4002
Q=SmallGroup(32,43) exterior=16 all_subgroups=27 normal_kernels=27 total=4029
Q=SmallGroup(32,44) exterior=16 all_subgroups=27 normal_kernels=27 total=4056
Q=SmallGroup(32,45) exterior=64 all_subgroups=2825 normal_kernels=2825 total=6881
Q=SmallGroup(32,46) exterior=128 all_subgroups=5276 normal_kernels=5276 total=12157
Q=SmallGroup(32,47) exterior=64 all_subgroups=2825 normal_kernels=2825 total=14982
Q=SmallGroup(32,48) exterior=64 all_subgroups=2825 normal_kernels=2825 total=17807
Q=SmallGroup(32,49) exterior=64 all_subgroups=2825 normal_kernels=2825 total=20632
Q=SmallGroup(32,50) exterior=64 all_subgroups=2825 normal_kernels=2825 total=23457
Q=SmallGroup(32,51) delegated to h6_c2_5 certificate
Q=SmallGroup(33,1) exterior=1 all_subgroups=1 normal_kernels=1 total=23458
Q=SmallGroup(34,1) exterior=17 all_subgroups=2 normal_kernels=2 total=23460
Q=SmallGroup(34,2) exterior=1 all_subgroups=1 normal_kernels=1 total=23461
Q=SmallGroup(35,1) exterior=1 all_subgroups=1 normal_kernels=1 total=23462
Q=SmallGroup(36,1) exterior=9 all_subgroups=3 normal_kernels=3 total=23465
Q=SmallGroup(36,2) exterior=1 all_subgroups=1 normal_kernels=1 total=23466
Q=SmallGroup(36,3) exterior=8 all_subgroups=6 normal_kernels=3 total=23469
Q=SmallGroup(36,4) exterior=18 all_subgroups=6 normal_kernels=6 total=23475
Q=SmallGroup(36,5) exterior=2 all_subgroups=2 normal_kernels=2 total=23477
Q=SmallGroup(36,6) exterior=3 all_subgroups=2 normal_kernels=2 total=23479
Q=SmallGroup(36,7) exterior=27 all_subgroups=19 normal_kernels=7 total=23486
Q=SmallGroup(36,8) exterior=3 all_subgroups=2 normal_kernels=2 total=23488
Q=SmallGroup(36,9) exterior=27 all_subgroups=19 normal_kernels=3 total=23491
Q=SmallGroup(36,10) exterior=18 all_subgroups=12 normal_kernels=8 total=23499
Q=SmallGroup(36,11) exterior=24 all_subgroups=12 normal_kernels=6 total=23505
Q=SmallGroup(36,12) exterior=6 all_subgroups=4 normal_kernels=4 total=23509
Q=SmallGroup(36,13) exterior=54 all_subgroups=38 normal_kernels=14 total=23523
Q=SmallGroup(36,14) exterior=6 all_subgroups=4 normal_kernels=4 total=23527
completed h6 exterior scan; quotients=162 scanned=161 kernels=23527
