# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# MAX_Q_ORDER=16
q_order	q_id	structure	cover_order	exterior_order	all_exterior_subgroups	normal_kernel_count	kernel_serial	kernel_order	kernel_index	adjacency
12	3	A4	24	8	6	3	2	2	4	;3,4,6,7,8,9,10,11,12;2,5,6,7,9,10,11,12;2,5,6,7,9,10,11,12;3,4,6,7,8,9,10,11,12;2,3,4,5,7,8,9,10,11;2,3,4,5,6,8,10,11,12;2,5,6,7,9,10,11,12;2,3,4,5,6,8,10,11,12;2,3,4,5,6,7,8,9,12;2,3,4,5,6,7,8,9,12;2,3,4,5,7,8,9,10,11
12	3	A4	24	8	6	3	3	8	1	;;;;;;;;;;;
12	4	D12	24	6	4	4	1	1	6	;3,4,5,6,7,8,9,10,11,12;2,5,6,9,10,12;2,5,6,9,10,12;2,3,4,6,7,8,9,10,11,12;2,3,4,5,7,8,9,10,11,12;2,5,6,9,10,12;2,5,6,9,10,12;2,3,4,5,6,7,8,10,11,12;2,3,4,5,6,7,8,9,11,12;2,5,6,9,10,12;2,3,4,5,6,7,8,9,10,11
12	4	D12	24	6	4	4	2	2	3	;4,6,7,8,9,10,11,12;;2,5,6,9,10,12;4,6,7,8,9,10,11,12;2,4,5,7,8,10,11,12;2,5,6,9,10,12;2,5,6,9,10,12;2,4,5,7,8,10,11,12;2,4,5,6,7,8,9,11;2,5,6,9,10,12;2,4,5,6,7,8,9,11
12	4	D12	24	6	4	4	3	3	2	;3,5,7,9,11,12;2,5,6,9,10,12;;2,3,6,7,10,11;3,5,7,9,11,12;2,5,6,9,10,12;;2,3,6,7,10,11;3,5,7,9,11,12;2,5,6,9,10,12;2,3,6,7,10,11
12	4	D12	24	6	4	4	4	6	1	;;;;;;;;;;;
12	5	C6 x C2	24	2	2	2	1	1	2	;3,5,7,9,11,12;2,5,6,9,10,12;;2,3,6,7,10,11;3,5,7,9,11,12;2,5,6,9,10,12;;2,3,6,7,10,11;3,5,7,9,11,12;2,5,6,9,10,12;2,3,6,7,10,11
12	5	C6 x C2	24	2	2	2	2	2	1	;;;;;;;;;;;
13	1	C13	13	1	1	1	1	1	1	;;;;;;;;;;;;
14	1	D14	14	7	2	2	1	1	7	;3,4,5,6,7,8,9,10,11,12,13,14;2,4,6,8,10,12,14;2,3,5,6,7,8,9,10,11,12,13,14;2,4,6,8,10,12,14;2,3,4,5,7,8,9,10,11,12,13,14;2,4,6,8,10,12,14;2,3,4,5,6,7,9,10,11,12,13,14;2,4,6,8,10,12,14;2,3,4,5,6,7,8,9,11,12,13,14;2,4,6,8,10,12,14;2,3,4,5,6,7,8,9,10,11,13,14;2,4,6,8,10,12,14;2,3,4,5,6,7,8,9,10,11,12,13
14	1	D14	14	7	2	2	2	7	1	;;;;;;;;;;;;;
14	2	C14	14	1	1	1	1	1	1	;;;;;;;;;;;;;
15	1	C15	15	1	1	1	1	1	1	;;;;;;;;;;;;;;
16	1	C16	16	1	1	1	1	1	1	;;;;;;;;;;;;;;;
16	2	C4 x C4	64	4	3	3	1	1	4	;3,5,6,8,9,10,11,12,13,14,15,16;2,4,6,7,8,9,11,12,13,14,15,16;3,6,9,10,12,13,15,16;2,6,7,8,12,13,14,16;2,3,4,5,7,8,9,10,12,13,14,15;3,5,6,8,9,10,11,12,13,14,15,16;2,3,5,6,7,9,10,11,12,13,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,4,6,7,8,9,11,12,13,14,15,16;2,3,7,8,9,10,14,15;2,3,4,5,6,7,8,9,10,14,15,16;2,3,4,5,6,7,8,9,10,14,15,16;2,3,5,6,7,9,10,11,12,13,15,16;2,3,4,6,7,8,10,11,12,13,14,16;2,3,4,5,7,8,9,10,12,13,14,15
