# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# ORDERS=125,625,3125,15625
# EXPECTED_TOTALS=5,15,77,684
# CLIQUE_CUTOFF=8
# TARGET_CLIQUE=9
# SCOPE=finite_SmallGroups_orders_5^3_through_5^6_only
group_order	group_id	structure	center_order	coset_count	pc_relative_orders	status	witness_vertices	witness_exponents	witness_forward_products	witness_reverse_products	adjacency_masks
15625	150		125	125	5,5,5,5,5,5	clique_ge_9	2,3,4,9,10,12,17,18,19	1,0,0,0,0,0;0,1,0,0,0,0;0,0,1,0,0,0;1,1,1,0,0,0;1,0,1,0,1,0;0,1,1,0,0,1;2,0,1,0,2,0;1,0,2,0,2,0;0,2,1,0,0,2	1,1,0,0,0,0;1,0,1,0,0,0;2,1,1,0,0,0;2,0,1,0,1,0;1,1,1,0,0,1;3,0,1,0,2,0;2,0,2,0,2,0;1,2,1,0,0,2;0,1,1,0,0,0;1,2,2,0,0,1;1,1,2,0,1,0;0,2,1,0,0,1;2,1,3,0,3,0;1,1,3,0,2,0;0,3,1,0,0,2;1,1,2,0,1,1;1,0,2,0,2,0;0,1,2,0,0,2;2,0,2,0,4,0;1,0,3,0,3,0;0,2,2,0,0,4;2,1,3,0,2,0;1,2,2,0,0,2;3,1,4,0,0,0;2,1,4,0,3,0;1,3,2,0,0,4;1,1,2,0,1,2;3,0,2,0,0,0;2,0,3,0,4,0;1,2,2,0,1,4;2,1,4,0,0,1;1,1,4,0,3,1;0,3,2,0,0,0;3,0,3,0,0,0;2,2,2,0,2,4;1,2,3,0,2,1	1,1,1,0,0,0;1,0,1,0,1,0;2,1,2,0,1,0;2,0,1,0,2,0;1,1,2,0,1,1;3,0,1,0,3,0;2,0,2,0,4,0;1,2,3,0,1,3;0,1,1,0,0,1;1,2,1,0,0,1;1,1,1,0,1,1;0,2,1,0,0,2;2,1,1,0,2,1;1,1,2,0,2,2;0,3,1,0,0,3;1,1,2,0,0,0;1,0,2,0,1,0;0,1,2,0,0,1;2,0,2,0,2,0;1,0,3,0,2,0;0,2,2,0,0,2;2,1,2,0,2,1;1,2,3,0,1,3;3,1,2,0,3,1;2,1,3,0,4,2;1,3,4,0,1,1;1,1,3,0,2,1;3,0,2,0,4,0;2,0,3,0,0,0;1,2,4,0,2,3;2,1,2,0,2,2;1,1,3,0,2,3;0,3,2,0,0,4;3,0,3,0,3,0;2,2,1,0,1,4;1,2,0,0,3,3	
15625	151		125	125	5,5,5,5,5,5	clique_ge_9	2,3,4,9,10,12,17,18,19	1,0,0,0,0,0;0,1,0,0,0,0;0,0,1,0,0,0;1,1,1,0,0,0;1,0,1,0,1,0;0,1,1,0,0,1;2,0,1,0,2,0;1,0,2,0,2,0;0,2,1,0,0,2	1,1,0,0,0,0;1,0,1,0,0,0;2,1,1,0,0,0;2,0,1,0,1,0;1,1,1,0,0,1;3,0,1,0,2,0;2,0,2,0,2,0;1,2,1,0,0,2;0,1,1,0,0,0;1,2,2,0,0,1;1,1,2,0,1,0;0,2,1,0,0,1;2,1,3,0,3,0;1,1,3,0,2,0;0,3,1,0,0,2;1,1,2,0,1,1;1,0,2,0,2,0;0,1,2,0,0,2;2,0,2,0,4,0;1,0,3,0,3,0;0,2,2,0,0,4;2,1,3,0,2,0;1,2,2,0,0,2;3,1,4,0,0,0;2,1,4,0,3,0;1,3,2,0,0,4;1,1,2,0,1,2;3,0,2,0,0,0;2,0,3,0,4,0;1,2,2,0,1,4;2,1,4,0,0,1;1,1,4,0,3,1;0,3,2,0,0,0;3,0,3,0,0,0;2,2,2,0,2,4;1,2,3,0,2,1	1,1,1,0,0,0;1,0,1,0,1,0;2,1,2,0,1,0;2,0,1,0,2,0;1,1,2,0,1,1;3,0,1,0,3,0;2,0,2,0,4,0;1,2,3,0,1,3;0,1,1,0,0,1;1,2,1,0,0,1;1,1,1,0,1,1;0,2,1,0,0,2;2,1,1,0,2,1;1,1,2,0,2,2;0,3,1,0,0,3;1,1,2,0,0,0;1,0,2,0,1,0;0,1,2,0,0,1;2,0,2,0,2,0;1,0,3,0,2,0;0,2,2,0,0,2;2,1,2,0,2,1;1,2,3,0,1,3;3,1,2,0,3,1;2,1,3,0,4,2;1,3,4,0,1,1;1,1,3,0,2,1;3,0,2,0,4,0;2,0,3,0,0,0;1,2,4,0,2,3;2,1,2,0,2,2;1,1,3,0,2,3;0,3,2,0,0,4;3,0,3,0,3,0;2,2,1,0,1,4;1,2,0,0,3,3	
15625	152		125	125	5,5,5,5,5,5	clique_ge_9	2,3,4,9,10,12,17,18,19	1,0,0,0,0,0;0,1,0,0,0,0;0,0,0,1,0,0;1,1,0,1,0,0;1,0,0,1,1,0;0,1,0,1,0,1;2,0,0,1,2,0;1,0,0,2,2,0;0,2,0,1,0,2	1,1,0,0,0,0;1,0,0,1,0,0;2,1,0,1,0,0;2,0,0,1,1,0;1,1,0,1,0,1;3,0,0,1,2,0;2,0,0,2,2,0;1,2,0,1,0,2;0,1,0,1,0,0;1,2,0,2,0,1;1,1,0,2,1,0;0,2,0,1,0,1;2,1,0,3,3,0;1,1,0,3,2,0;0,3,0,1,0,2;1,1,0,2,1,1;1,0,0,2,2,0;0,1,0,2,0,2;2,0,0,2,4,0;1,0,0,3,3,0;0,2,0,2,0,4;2,1,0,3,2,0;1,2,0,2,0,2;3,1,0,4,0,0;2,1,0,4,3,0;1,3,0,2,0,4;1,1,0,2,1,2;3,0,0,2,0,0;2,0,0,3,4,0;1,2,0,2,1,4;2,1,0,4,0,1;1,1,0,4,3,1;0,3,0,2,0,0;3,0,0,3,0,0;2,2,0,2,2,4;1,2,0,3,2,1	1,1,0,1,0,0;1,0,0,1,1,0;2,1,0,2,1,0;2,0,0,1,2,0;1,1,0,2,1,1;3,0,0,1,3,0;2,0,0,2,4,0;1,2,0,3,1,3;0,1,0,1,0,1;1,2,0,1,0,1;1,1,0,1,1,1;0,2,0,1,0,2;2,1,0,1,2,1;1,1,0,2,2,2;0,3,0,1,0,3;1,1,0,2,0,0;1,0,0,2,1,0;0,1,0,2,0,1;2,0,0,2,2,0;1,0,0,3,2,0;0,2,0,2,0,2;2,1,0,2,2,1;1,2,0,3,1,3;3,1,0,2,3,1;2,1,0,3,4,2;1,3,0,4,1,1;1,1,0,3,2,1;3,0,0,2,4,0;2,0,0,3,0,0;1,2,0,4,2,3;2,1,0,2,2,2;1,1,0,3,2,3;0,3,0,2,0,4;3,0,0,3,3,0;2,2,0,1,1,4;1,2,0,0,3,3	
15625	153		125	125	5,5,5,5,5,5	clique_ge_9	2,3,4,9,10,12,17,18,19	1,0,0,0,0,0;0,1,0,0,0,0;0,0,0,1,0,0;1,1,0,1,0,0;1,0,0,1,1,0;0,1,0,1,0,1;2,0,0,1,2,0;1,0,0,2,2,0;0,2,0,1,0,2	1,1,0,0,0,0;1,0,0,1,0,0;2,1,0,1,0,0;2,0,0,1,1,0;1,1,0,1,0,1;3,0,0,1,2,0;2,0,0,2,2,0;1,2,0,1,0,2;0,1,0,1,0,0;1,2,0,2,0,1;1,1,0,2,1,0;0,2,0,1,0,1;2,1,0,3,3,0;1,1,0,3,2,0;0,3,0,1,0,2;1,1,0,2,1,1;1,0,0,2,2,0;0,1,0,2,0,2;2,0,0,2,4,0;1,0,0,3,3,0;0,2,0,2,0,4;2,1,0,3,2,0;1,2,0,2,0,2;3,1,0,4,0,0;2,1,0,4,3,0;1,3,0,2,0,4;1,1,0,2,1,2;3,0,0,2,0,0;2,0,0,3,4,0;1,2,0,2,1,4;2,1,0,4,0,1;1,1,0,4,3,1;0,3,0,2,0,0;3,0,0,3,0,0;2,2,0,2,2,4;1,2,0,3,2,1	1,1,0,1,0,0;1,0,0,1,1,0;2,1,0,2,1,0;2,0,0,1,2,0;1,1,0,2,1,1;3,0,0,1,3,0;2,0,0,2,4,0;1,2,0,3,1,3;0,1,0,1,0,1;1,2,0,1,0,1;1,1,0,1,1,1;0,2,0,1,0,2;2,1,0,1,2,1;1,1,0,2,2,2;0,3,0,1,0,3;1,1,0,2,0,0;1,0,0,2,1,0;0,1,0,2,0,1;2,0,0,2,2,0;1,0,0,3,2,0;0,2,0,2,0,2;2,1,0,2,2,1;1,2,0,3,1,3;3,1,0,2,3,1;2,1,0,3,4,2;1,3,0,4,1,1;1,1,0,3,2,1;3,0,0,2,4,0;2,0,0,3,0,0;1,2,0,4,2,3;2,1,0,2,2,2;1,1,0,3,2,3;0,3,0,2,0,4;3,0,0,3,3,0;2,2,0,1,1,4;1,2,0,0,3,3	
15625	154		125	125	5,5,5,5,5,5	clique_ge_9	2,3,4,9,10,12,17,18,19	1,0,0,0,0,0;0,1,0,0,0,0;0,0,0,1,0,0;1,1,0,1,0,0;1,0,0,1,1,0;0,1,0,1,0,1;2,0,0,1,2,0;1,0,0,2,2,0;0,2,0,1,0,2	1,1,0,0,0,0;1,0,0,1,0,0;2,1,0,1,0,0;2,0,0,1,1,0;1,1,0,1,0,1;3,0,0,1,2,0;2,0,0,2,2,0;1,2,0,1,0,2;0,1,0,1,0,0;1,2,0,2,0,1;1,1,0,2,1,0;0,2,0,1,0,1;2,1,0,3,3,0;1,1,0,3,2,0;0,3,0,1,0,2;1,1,0,2,1,1;1,0,0,2,2,0;0,1,0,2,0,2;2,0,0,2,4,0;1,0,0,3,3,0;0,2,0,2,0,4;2,1,0,3,2,0;1,2,0,2,0,2;3,1,0,4,0,0;2,1,0,4,3,0;1,3,0,2,0,4;1,1,0,2,1,2;3,0,0,2,0,0;2,0,0,3,4,0;1,2,0,2,1,4;2,1,0,4,0,1;1,1,0,4,3,1;0,3,0,2,0,0;3,0,0,3,0,0;2,2,0,2,2,4;1,2,0,3,2,1	1,1,0,1,0,0;1,0,0,1,1,0;2,1,0,2,1,0;2,0,0,1,2,0;1,1,0,2,1,1;3,0,0,1,3,0;2,0,0,2,4,0;1,2,0,3,1,3;0,1,0,1,0,1;1,2,0,1,0,1;1,1,0,1,1,1;0,2,0,1,0,2;2,1,0,1,2,1;1,1,0,2,2,2;0,3,0,1,0,3;1,1,0,2,0,0;1,0,0,2,1,0;0,1,0,2,0,1;2,0,0,2,2,0;1,0,0,3,2,0;0,2,0,2,0,2;2,1,0,2,2,1;1,2,0,3,1,3;3,1,0,2,3,1;2,1,0,3,4,2;1,3,0,4,1,1;1,1,0,3,2,1;3,0,0,2,4,0;2,0,0,3,0,0;1,2,0,4,2,3;2,1,0,2,2,2;1,1,0,3,2,3;0,3,0,2,0,4;3,0,0,3,3,0;2,2,0,1,1,4;1,2,0,0,3,3	
15625	155		125	125	5,5,5,5,5,5	clique_ge_9	2,3,4,9,10,12,17,18,19	1,0,0,0,0,0;0,1,0,0,0,0;0,0,0,1,0,0;1,1,0,1,0,0;1,0,0,1,1,0;0,1,0,1,0,1;2,0,0,1,2,0;1,0,0,2,2,0;0,2,0,1,0,2	1,1,0,0,0,0;1,0,0,1,0,0;2,1,0,1,0,0;2,0,0,1,1,0;1,1,0,1,0,1;3,0,0,1,2,0;2,0,0,2,2,0;1,2,0,1,0,2;0,1,0,1,0,0;1,2,0,2,0,1;1,1,0,2,1,0;0,2,0,1,0,1;2,1,0,3,3,0;1,1,0,3,2,0;0,3,0,1,0,2;1,1,0,2,1,1;1,0,0,2,2,0;0,1,0,2,0,2;2,0,0,2,4,0;1,0,0,3,3,0;0,2,0,2,0,4;2,1,0,3,2,0;1,2,0,2,0,2;3,1,0,4,0,0;2,1,0,4,3,0;1,3,0,2,0,4;1,1,0,2,1,2;3,0,0,2,0,0;2,0,0,3,4,0;1,2,0,2,1,4;2,1,0,4,0,1;1,1,0,4,3,1;0,3,0,2,0,0;3,0,0,3,0,0;2,2,0,2,2,4;1,2,0,3,2,1	1,1,0,1,0,0;1,0,0,1,1,0;2,1,0,2,1,0;2,0,0,1,2,0;1,1,0,2,1,1;3,0,0,1,3,0;2,0,0,2,4,0;1,2,0,3,1,3;0,1,0,1,0,1;1,2,0,1,0,1;1,1,0,1,1,1;0,2,0,1,0,2;2,1,0,1,2,1;1,1,0,2,2,2;0,3,0,1,0,3;1,1,0,2,0,0;1,0,0,2,1,0;0,1,0,2,0,1;2,0,0,2,2,0;1,0,0,3,2,0;0,2,0,2,0,2;2,1,0,2,2,1;1,2,0,3,1,3;3,1,0,2,3,1;2,1,0,3,4,2;1,3,0,4,1,1;1,1,0,3,2,1;3,0,0,2,4,0;2,0,0,3,0,0;1,2,0,4,2,3;2,1,0,2,2,2;1,1,0,3,2,3;0,3,0,2,0,4;3,0,0,3,3,0;2,2,0,1,1,4;1,2,0,0,3,3	
15625	156		125	125	5,5,5,5,5,5	clique_ge_9	2,3,4,9,10,12,17,18,19	1,0,0,0,0,0;0,1,0,0,0,0;0,0,0,1,0,0;1,1,0,1,0,0;1,0,0,1,1,0;0,1,0,1,0,1;2,0,0,1,2,0;1,0,0,2,2,0;0,2,0,1,0,2	1,1,0,0,0,0;1,0,0,1,0,0;2,1,0,1,0,0;2,0,0,1,1,0;1,1,0,1,0,1;3,0,0,1,2,0;2,0,0,2,2,0;1,2,0,1,0,2;0,1,0,1,0,0;1,2,0,2,0,1;1,1,0,2,1,0;0,2,0,1,0,1;2,1,0,3,3,0;1,1,0,3,2,0;0,3,0,1,0,2;1,1,0,2,1,1;1,0,0,2,2,0;0,1,0,2,0,2;2,0,0,2,4,0;1,0,0,3,3,0;0,2,0,2,0,4;2,1,0,3,2,0;1,2,0,2,0,2;3,1,0,4,0,0;2,1,0,4,3,0;1,3,0,2,0,4;1,1,0,2,1,2;3,0,0,2,0,0;2,0,0,3,4,0;1,2,0,2,1,4;2,1,0,4,0,1;1,1,0,4,3,1;0,3,0,2,0,0;3,0,0,3,0,0;2,2,0,2,2,4;1,2,0,3,2,1	1,1,0,1,0,0;1,0,0,1,1,0;2,1,0,2,1,0;2,0,0,1,2,0;1,1,0,2,1,1;3,0,0,1,3,0;2,0,0,2,4,0;1,2,0,3,1,3;0,1,0,1,0,1;1,2,0,1,0,1;1,1,0,1,1,1;0,2,0,1,0,2;2,1,0,1,2,1;1,1,0,2,2,2;0,3,0,1,0,3;1,1,0,2,0,0;1,0,0,2,1,0;0,1,0,2,0,1;2,0,0,2,2,0;1,0,0,3,2,0;0,2,0,2,0,2;2,1,0,2,2,1;1,2,0,3,1,3;3,1,0,2,3,1;2,1,0,3,4,2;1,3,0,4,1,1;1,1,0,3,2,1;3,0,0,2,4,0;2,0,0,3,0,0;1,2,0,4,2,3;2,1,0,2,2,2;1,1,0,3,2,3;0,3,0,2,0,4;3,0,0,3,3,0;2,2,0,1,1,4;1,2,0,0,3,3	
15625	157		125	125	5,5,5,5,5,5	clique_ge_9	2,3,4,9,10,12,17,18,19	1,0,0,0,0,0;0,1,0,0,0,0;0,0,0,1,0,0;1,1,0,1,0,0;1,0,0,1,1,0;0,1,0,1,0,1;2,0,0,1,2,0;1,0,0,2,2,0;0,2,0,1,0,2	1,1,0,0,0,0;1,0,0,1,0,0;2,1,0,1,0,0;2,0,0,1,1,0;1,1,0,1,0,1;3,0,0,1,2,0;2,0,0,2,2,0;1,2,0,1,0,2;0,1,0,1,0,0;1,2,0,2,0,1;1,1,0,2,1,0;0,2,0,1,0,1;2,1,0,3,3,0;1,1,0,3,2,0;0,3,0,1,0,2;1,1,0,2,1,1;1,0,0,2,2,0;0,1,0,2,0,2;2,0,0,2,4,0;1,0,0,3,3,0;0,2,0,2,0,4;2,1,0,3,2,0;1,2,0,2,0,2;3,1,0,4,0,0;2,1,0,4,3,0;1,3,0,2,0,4;1,1,0,2,1,2;3,0,0,2,0,0;2,0,0,3,4,0;1,2,0,2,1,4;2,1,0,4,0,1;1,1,0,4,3,1;0,3,0,2,0,0;3,0,0,3,0,0;2,2,0,2,2,4;1,2,0,3,2,1	1,1,0,1,0,0;1,0,0,1,1,0;2,1,0,2,1,0;2,0,0,1,2,0;1,1,0,2,1,1;3,0,0,1,3,0;2,0,0,2,4,0;1,2,0,3,1,3;0,1,0,1,0,1;1,2,0,1,0,1;1,1,0,1,1,1;0,2,0,1,0,2;2,1,0,1,2,1;1,1,0,2,2,2;0,3,0,1,0,3;1,1,0,2,0,0;1,0,0,2,1,0;0,1,0,2,0,1;2,0,0,2,2,0;1,0,0,3,2,0;0,2,0,2,0,2;2,1,0,2,2,1;1,2,0,3,1,3;3,1,0,2,3,1;2,1,0,3,4,2;1,3,0,4,1,1;1,1,0,3,2,1;3,0,0,2,4,0;2,0,0,3,0,0;1,2,0,4,2,3;2,1,0,2,2,2;1,1,0,3,2,3;0,3,0,2,0,4;3,0,0,3,3,0;2,2,0,1,1,4;1,2,0,0,3,3	
15625	158		125	125	5,5,5,5,5,5	clique_ge_9	2,3,4,9,10,12,17,18,19	1,0,0,0,0,0;0,1,0,0,0,0;0,0,0,1,0,0;1,1,0,1,0,0;1,0,0,1,1,0;0,1,0,1,0,1;2,0,0,1,2,0;1,0,0,2,2,0;0,2,0,1,0,2	1,1,0,0,0,0;1,0,0,1,0,0;2,1,0,1,0,0;2,0,0,1,1,0;1,1,0,1,0,1;3,0,0,1,2,0;2,0,0,2,2,0;1,2,0,1,0,2;0,1,0,1,0,0;1,2,0,2,0,1;1,1,0,2,1,0;0,2,0,1,0,1;2,1,0,3,3,0;1,1,0,3,2,0;0,3,0,1,0,2;1,1,0,2,1,1;1,0,0,2,2,0;0,1,0,2,0,2;2,0,0,2,4,0;1,0,0,3,3,0;0,2,0,2,0,4;2,1,0,3,2,0;1,2,0,2,0,2;3,1,0,4,0,0;2,1,0,4,3,0;1,3,0,2,0,4;1,1,0,2,1,2;3,0,0,2,0,0;2,0,0,3,4,0;1,2,0,2,1,4;2,1,0,4,0,1;1,1,0,4,3,1;0,3,0,2,0,0;3,0,0,3,0,0;2,2,0,2,2,4;1,2,0,3,2,1	1,1,0,1,0,0;1,0,0,1,1,0;2,1,0,2,1,0;2,0,0,1,2,0;1,1,0,2,1,1;3,0,0,1,3,0;2,0,0,2,4,0;1,2,0,3,1,3;0,1,0,1,0,1;1,2,0,1,0,1;1,1,0,1,1,1;0,2,0,1,0,2;2,1,0,1,2,1;1,1,0,2,2,2;0,3,0,1,0,3;1,1,0,2,0,0;1,0,0,2,1,0;0,1,0,2,0,1;2,0,0,2,2,0;1,0,0,3,2,0;0,2,0,2,0,2;2,1,0,2,2,1;1,2,0,3,1,3;3,1,0,2,3,1;2,1,0,3,4,2;1,3,0,4,1,1;1,1,0,3,2,1;3,0,0,2,4,0;2,0,0,3,0,0;1,2,0,4,2,3;2,1,0,2,2,2;1,1,0,3,2,3;0,3,0,2,0,4;3,0,0,3,3,0;2,2,0,1,1,4;1,2,0,0,3,3	
15625	159		125	125	5,5,5,5,5,5	clique_ge_9	2,3,4,9,10,12,17,18,19	1,0,0,0,0,0;0,1,0,0,0,0;0,0,0,1,0,0;1,1,0,1,0,0;1,0,0,1,1,0;0,1,0,1,0,1;2,0,0,1,2,0;1,0,0,2,2,0;0,2,0,1,0,2	1,1,0,0,0,0;1,0,0,1,0,0;2,1,0,1,0,0;2,0,0,1,1,0;1,1,0,1,0,1;3,0,0,1,2,0;2,0,0,2,2,0;1,2,0,1,0,2;0,1,0,1,0,0;1,2,0,2,0,1;1,1,0,2,1,0;0,2,0,1,0,1;2,1,0,3,3,0;1,1,0,3,2,0;0,3,0,1,0,2;1,1,0,2,1,1;1,0,0,2,2,0;0,1,0,2,0,2;2,0,0,2,4,0;1,0,0,3,3,0;0,2,0,2,0,4;2,1,0,3,2,0;1,2,0,2,0,2;3,1,0,4,0,0;2,1,0,4,3,0;1,3,0,2,0,4;1,1,0,2,1,2;3,0,0,2,0,0;2,0,0,3,4,0;1,2,0,2,1,4;2,1,0,4,0,1;1,1,0,4,3,1;0,3,0,2,0,0;3,0,0,3,0,0;2,2,0,2,2,4;1,2,0,3,2,1	1,1,0,1,0,0;1,0,0,1,1,0;2,1,0,2,1,0;2,0,0,1,2,0;1,1,0,2,1,1;3,0,0,1,3,0;2,0,0,2,4,0;1,2,0,3,1,3;0,1,0,1,0,1;1,2,0,1,0,1;1,1,0,1,1,1;0,2,0,1,0,2;2,1,0,1,2,1;1,1,0,2,2,2;0,3,0,1,0,3;1,1,0,2,0,0;1,0,0,2,1,0;0,1,0,2,0,1;2,0,0,2,2,0;1,0,0,3,2,0;0,2,0,2,0,2;2,1,0,2,2,1;1,2,0,3,1,3;3,1,0,2,3,1;2,1,0,3,4,2;1,3,0,4,1,1;1,1,0,3,2,1;3,0,0,2,4,0;2,0,0,3,0,0;1,2,0,4,2,3;2,1,0,2,2,2;1,1,0,3,2,3;0,3,0,2,0,4;3,0,0,3,3,0;2,2,0,1,1,4;1,2,0,0,3,3	
15625	160		25	625	5,5,5,5,5,5	clique_ge_9	2,3,16,17,22,32,47,48,52	1,0,0,0,0,0;0,1,0,0,0,0;1,1,1,0,0,0;1,1,0,0,0,1;0,1,1,0,1,0;1,2,1,0,0,0;2,1,1,0,0,1;2,1,0,0,0,2;1,3,1,0,0,0	1,1,0,0,0,0;2,1,1,0,0,0;2,1,0,0,0,1;1,1,1,0,1,0;2,2,1,0,0,0;3,1,1,0,0,1;3,1,0,0,0,2;2,3,1,0,0,0;1,2,1,0,0,1;1,2,0,0,0,2;0,2,1,0,1,0;1,3,1,0,0,1;2,2,1,0,0,3;2,2,0,0,0,4;1,4,1,0,0,1;2,2,1,0,1,2;1,2,2,0,2,1;2,3,2,0,2,3;3,2,2,0,1,4;3,2,1,0,1,4;2,4,2,0,3,4;1,2,1,0,1,1;2,3,1,0,0,2;3,2,1,0,0,4;3,2,0,0,0,0;2,4,1,0,0,2;1,3,2,0,3,4;2,2,2,0,2,0;2,2,1,0,2,4;1,4,2,0,4,0;3,3,2,0,1,1;3,3,1,0,1,1;2,0,2,0,3,0;4,2,1,0,1,0;3,4,2,0,3,0;3,4,1,0,0,3	1,1,0,0,0,1;2,1,1,0,0,1;2,1,0,0,0,2;1,1,1,0,1,1;2,2,1,0,0,2;3,1,1,0,0,2;3,1,0,0,0,3;2,3,1,0,0,3;1,2,1,0,1,0;1,2,0,0,0,1;0,2,1,0,2,0;1,3,1,0,1,0;2,2,1,0,1,1;2,2,0,0,0,2;1,4,1,0,1,0;2,2,1,0,0,2;1,2,2,0,2,3;2,3,2,0,1,3;3,2,2,0,1,3;3,2,1,0,0,3;2,4,2,0,1,4;1,2,1,0,2,2;2,3,1,0,1,3;3,2,1,0,1,3;3,2,0,0,0,4;2,4,1,0,1,4;1,3,2,0,2,1;2,2,2,0,2,2;2,2,1,0,1,2;1,4,2,0,2,1;3,3,2,0,2,4;3,3,1,0,0,3;2,0,2,0,2,0;4,2,1,0,0,0;3,4,2,0,1,3;3,4,1,0,1,3	
15625	161		25	625	5,5,5,5,5,5	clique_ge_9	2,3,16,17,22,32,47,48,52	1,0,0,0,0,0;0,1,0,0,0,0;1,1,1,0,0,0;1,1,0,0,0,1;0,1,1,1,0,0;1,2,1,0,0,0;2,1,1,0,0,1;2,1,0,0,0,2;1,3,1,0,0,0	1,1,0,0,0,0;2,1,1,0,0,0;2,1,0,0,0,1;1,1,1,1,0,0;2,2,1,0,0,0;3,1,1,0,0,1;3,1,0,0,0,2;2,3,1,0,0,0;1,2,1,0,0,1;1,2,0,0,0,2;0,2,1,1,0,0;1,3,1,0,0,1;2,2,1,0,0,3;2,2,0,0,0,4;1,4,1,0,0,1;2,2,1,1,0,2;1,2,2,2,0,1;2,3,2,2,0,3;3,2,2,1,0,4;3,2,1,1,0,4;2,4,2,3,0,4;1,2,1,1,0,1;2,3,1,0,0,2;3,2,1,0,0,4;3,2,0,0,0,0;2,4,1,0,0,2;1,3,2,3,0,4;2,2,2,2,0,0;2,2,1,2,0,4;1,4,2,4,0,0;3,3,2,1,0,1;3,3,1,1,0,1;2,0,2,3,0,0;4,2,1,1,0,0;3,4,2,3,0,0;3,4,1,0,0,3	1,1,0,0,0,1;2,1,1,0,0,1;2,1,0,0,0,2;1,1,1,1,0,1;2,2,1,0,0,2;3,1,1,0,0,2;3,1,0,0,0,3;2,3,1,0,0,3;1,2,1,1,0,0;1,2,0,0,0,1;0,2,1,2,0,0;1,3,1,1,0,0;2,2,1,1,0,1;2,2,0,0,0,2;1,4,1,1,0,0;2,2,1,0,0,2;1,2,2,2,0,3;2,3,2,1,0,3;3,2,2,1,0,3;3,2,1,0,0,3;2,4,2,1,0,4;1,2,1,2,0,2;2,3,1,1,0,3;3,2,1,1,0,3;3,2,0,0,0,4;2,4,1,1,0,4;1,3,2,2,0,1;2,2,2,2,0,2;2,2,1,1,0,2;1,4,2,2,0,1;3,3,2,2,0,4;3,3,1,0,0,3;2,0,2,2,0,0;4,2,1,0,0,0;3,4,2,1,0,3;3,4,1,1,0,3	
15625	162		25	625	5,5,5,5,5,5	clique_ge_9	2,3,16,17,22,32,47,48,52	1,0,0,0,0,0;0,1,0,0,0,0;1,1,1,0,0,0;1,1,0,0,0,1;0,1,1,1,0,0;1,2,1,0,0,0;2,1,1,0,0,1;2,1,0,0,0,2;1,3,1,0,0,0	1,1,0,0,0,0;2,1,1,0,0,0;2,1,0,0,0,1;1,1,1,1,0,0;2,2,1,0,0,0;3,1,1,0,0,1;3,1,0,0,0,2;2,3,1,0,0,0;1,2,1,0,0,1;1,2,0,0,0,2;0,2,1,1,0,0;1,3,1,0,0,1;2,2,1,0,0,3;2,2,0,0,0,4;1,4,1,0,0,1;2,2,1,1,0,2;1,2,2,2,0,1;2,3,2,2,0,3;3,2,2,1,0,4;3,2,1,1,0,4;2,4,2,3,0,4;1,2,1,1,0,1;2,3,1,0,0,2;3,2,1,0,0,4;3,2,0,0,0,0;2,4,1,0,0,2;1,3,2,3,0,4;2,2,2,2,0,0;2,2,1,2,0,4;1,4,2,4,0,0;3,3,2,1,0,1;3,3,1,1,0,1;2,0,2,3,1,0;4,2,1,1,0,0;3,4,2,3,0,0;3,4,1,0,0,3	1,1,0,0,0,1;2,1,1,0,0,1;2,1,0,0,0,2;1,1,1,1,0,1;2,2,1,0,0,2;3,1,1,0,0,2;3,1,0,0,0,3;2,3,1,0,0,3;1,2,1,1,0,0;1,2,0,0,0,1;0,2,1,2,0,0;1,3,1,1,0,0;2,2,1,1,0,1;2,2,0,0,0,2;1,4,1,1,0,0;2,2,1,0,0,2;1,2,2,2,0,3;2,3,2,1,0,3;3,2,2,1,0,3;3,2,1,0,0,3;2,4,2,1,0,4;1,2,1,2,0,2;2,3,1,1,0,3;3,2,1,1,0,3;3,2,0,0,0,4;2,4,1,1,0,4;1,3,2,2,0,1;2,2,2,2,0,2;2,2,1,1,0,2;1,4,2,2,0,1;3,3,2,2,0,4;3,3,1,0,0,3;2,0,2,2,1,0;4,2,1,0,0,0;3,4,2,1,0,3;3,4,1,1,0,3	
