# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# ORDERS=125,625,3125,15625
# EXPECTED_TOTALS=5,15,77,684
# CLIQUE_CUTOFF=8
# TARGET_CLIQUE=9
# SCOPE=finite_SmallGroups_orders_5^3_through_5^6_only
group_order	group_id	structure	center_order	coset_count	pc_relative_orders	status	witness_vertices	witness_exponents	witness_forward_products	witness_reverse_products	adjacency_masks
625	10		5	125	5,5,5,5	clique_ge_9	2,3,10,11,22,23,24,25,26	1,0,0,0;0,1,0,0;1,1,1,0;1,0,1,1;4,1,0,0;2,1,0,2;2,0,1,2;1,2,2,0;1,1,2,1	1,1,0,0;2,1,1,0;2,0,1,1;0,1,0,0;3,1,0,2;3,0,1,2;2,2,2,0;2,1,2,1;1,2,2,0;1,1,2,1;4,2,4,1;2,2,2,3;2,1,3,3;1,3,3,0;1,2,3,1;2,1,3,2;0,2,0,0;3,2,3,0;3,1,4,0;2,3,4,1;2,2,4,2;0,1,1,0;3,1,1,0;3,0,2,0;2,2,3,2;2,1,3,3;1,2,2,3;1,1,3,3;0,3,3,0;0,2,3,1;4,1,3,0;3,3,3,2;3,2,3,3;3,2,3,3;3,1,3,4;2,3,1,3	1,1,1,0;2,1,2,1;2,0,1,2;0,1,1,0;3,1,1,2;3,0,1,3;2,2,4,2;2,1,3,3;1,2,1,0;1,1,1,1;4,2,0,0;2,2,0,2;2,1,1,2;1,3,2,0;1,2,2,1;2,1,2,2;0,2,2,0;3,2,2,2;3,1,2,3;2,3,0,2;2,2,4,3;0,1,2,1;3,1,2,3;3,0,2,4;2,2,0,3;2,1,4,4;1,2,4,3;1,1,1,1;0,3,0,0;0,2,1,0;4,1,1,1;3,3,1,3;3,2,4,3;3,2,2,3;3,1,0,3;2,3,0,3	
625	11	C25 x C5 x C5	625	1	5,5,5,5	candidate					0
625	12	C5 x ((C5 x C5) : C5)	25	25	5,5,5,5	candidate					0,33554132,33553770,33554132,33553770,33554132,16580542,33553770,33554132,33553770,30899198,29079550,24104958,24104958,29079550,30899198,16580542,16580542,29079550,30899198,24104958,30899198,29079550,24104958,16580542
625	13	C5 x (C25 : C5)	25	25	5,5,5,5	candidate					0,33554132,33553770,33554132,33553770,33554132,16580542,33553770,33554132,33553770,30899198,29079550,24104958,24104958,29079550,30899198,16580542,16580542,29079550,30899198,24104958,30899198,29079550,24104958,16580542
625	14	(C25 : C5) : C5	25	25	5,5,5,5	candidate					0,33554132,33553770,33554132,33553770,33554132,16580542,33553770,33554132,33553770,30899198,29079550,24104958,24104958,29079550,30899198,16580542,16580542,29079550,30899198,24104958,30899198,29079550,24104958,16580542
625	15	C5 x C5 x C5 x C5	625	1	5,5,5,5	candidate					0
3125	1	C3125	3125	1	5,5,5,5,5	candidate					0
3125	2	(C25 x C5) : C25	125	25	5,5,5,5,5	candidate					0,33554132,33553770,33554132,33553770,33554132,16580542,33553770,33554132,33553770,30899198,29079550,24104958,24104958,29079550,30899198,16580542,16580542,29079550,30899198,24104958,30899198,29079550,24104958,16580542
3125	3		25	125	5,5,5,5,5	clique_ge_9	2,3,4,9,10,12,17,18,19	1,0,0,0,0;0,1,0,0,0;0,0,1,0,0;1,1,1,0,0;1,0,1,1,0;0,1,1,0,1;2,0,1,2,0;1,0,2,2,0;0,2,1,0,2	1,1,0,0,0;1,0,1,0,0;2,1,1,0,0;2,0,1,1,0;1,1,1,0,1;3,0,1,2,0;2,0,2,2,0;1,2,1,0,2;0,1,1,0,0;1,2,2,0,1;1,1,2,1,0;0,2,1,0,1;2,1,3,3,0;1,1,3,2,0;0,3,1,0,2;1,1,2,1,1;1,0,2,2,0;0,1,2,0,2;2,0,2,4,0;1,0,3,3,0;0,2,2,0,4;2,1,3,2,0;1,2,2,0,2;3,1,4,0,0;2,1,4,3,0;1,3,2,0,4;1,1,2,1,2;3,0,2,0,0;2,0,3,4,0;1,2,2,1,4;2,1,4,0,1;1,1,4,3,1;0,3,2,0,0;3,0,3,0,0;2,2,2,2,4;1,2,3,2,1	1,1,1,0,0;1,0,1,1,0;2,1,2,1,0;2,0,1,2,0;1,1,2,1,1;3,0,1,3,0;2,0,2,4,0;1,2,3,1,3;0,1,1,0,1;1,2,1,0,1;1,1,1,1,1;0,2,1,0,2;2,1,1,2,1;1,1,2,2,2;0,3,1,0,3;1,1,2,0,0;1,0,2,1,0;0,1,2,0,1;2,0,2,2,0;1,0,3,2,0;0,2,2,0,2;2,1,2,2,1;1,2,3,1,3;3,1,2,3,1;2,1,3,4,2;1,3,4,1,1;1,1,3,2,1;3,0,2,4,0;2,0,3,0,0;1,2,4,2,3;2,1,2,2,2;1,1,3,2,3;0,3,2,0,4;3,0,3,3,0;2,2,1,1,4;1,2,0,3,3	
3125	4		25	125	5,5,5,5,5	clique_ge_9	2,3,4,9,10,12,17,18,19	1,0,0,0,0;0,1,0,0,0;0,0,1,0,0;1,1,1,0,0;1,0,1,1,0;0,1,1,0,1;2,0,1,2,0;1,0,2,2,0;0,2,1,0,2	1,1,0,0,0;1,0,1,0,0;2,1,1,0,0;2,0,1,1,0;1,1,1,0,1;3,0,1,2,0;2,0,2,2,0;1,2,1,0,2;0,1,1,0,0;1,2,2,0,1;1,1,2,1,0;0,2,1,0,1;2,1,3,3,0;1,1,3,2,0;0,3,1,0,2;1,1,2,1,1;1,0,2,2,0;0,1,2,0,2;2,0,2,4,0;1,0,3,3,0;0,2,2,0,4;2,1,3,2,0;1,2,2,0,2;3,1,4,0,0;2,1,4,3,0;1,3,2,0,4;1,1,2,1,2;3,0,2,0,0;2,0,3,4,0;1,2,2,1,4;2,1,4,0,1;1,1,4,3,1;0,3,2,0,0;3,0,3,0,0;2,2,2,2,4;1,2,3,2,1	1,1,1,0,0;1,0,1,1,0;2,1,2,1,0;2,0,1,2,0;1,1,2,1,1;3,0,1,3,0;2,0,2,4,0;1,2,3,1,3;0,1,1,0,1;1,2,1,0,1;1,1,1,1,1;0,2,1,0,2;2,1,1,2,1;1,1,2,2,2;0,3,1,0,3;1,1,2,0,0;1,0,2,1,0;0,1,2,0,1;2,0,2,2,0;1,0,3,2,0;0,2,2,0,2;2,1,2,2,1;1,2,3,1,3;3,1,2,3,1;2,1,3,4,2;1,3,4,1,1;1,1,3,2,1;3,0,2,4,0;2,0,3,0,0;1,2,4,2,3;2,1,2,2,2;1,1,3,2,3;0,3,2,0,4;3,0,3,3,0;2,2,1,1,4;1,2,0,3,3	
