# GAP_VERSION=4.16.0
# SMALLGRP_VERSION=1.5.4
# Q_ORDER=108
# Q_ID=41
# CLIQUE_CUTOFF=8
# TARGET_CLIQUE=9
# SCOPE=single_post81_literature_candidate_only
q_order	q_id	structure	cover_order	cover_kernel_order	cover_kernel_central	cover_kernel_in_derived	exterior_order	all_exterior_subgroups	normal_kernel_count	kernel_serial	kernel_order	kernel_index	radical_count	status	witness	adjacency
108	41	C3 x C3 x A4	5832	54	true	true	216	168	84	1	1	216	1	clique_ge_9	96,93,94,92,91,90,95,84,82	0,324518553658426726783156020576188,324518553658422115096987269044170,324518553658352939804937036529606,324518514972789546360395804854242,324518476287152942398407219947474,324518553658426726783156020576188,324518553658426726780956997320574,324518553658426726747971648487166,324518553658426726501681043865086,324518553658426726783156018478078,324518553658422115096987269044170,321983136401054115026759040364494,324518553658426726783151725598698,324518553658426726783147430623194,324518553658352939804937036529606,324518553658426726782881142570982,324518553658426726782606264598486,321982788230339667350090260637682,324518553658426726783156011663358,324518553658426726783155885309950,324518553658426726783156018478078,324518553658426726783154942640126,324518553658426726783156011663358,324517934688407084093018554236926,324513601898269585262056390524926,324518553658131578877976600641534,324518553658426726783155885309950,324439325495912462445562208190462,324518553639537260851676902850558,324518553658426726783154942640126,324518089430880865884909220921294,324518553658426726783151725598698,324518553658426726783147430623194,324518089430880865884909220921294,324518514972799922654235766812654,324518476287173694986067816476638,324518553658422115097000153970682,324518553658426726782881142570982,324518553658426726782606264598486,324518553658352939805761670447094,324518553658426726780956997320574,324518553507310999326929327226878,324518553658426724522560113868798,324518552449500907150934659825662,324518553658426726747971648487166,324518553658426582597599200542718,324518534315613612808351736922110,324518553658426726501681043865086,324518553657246134599488655851518,324518553648981992691516823306238,324518553658426724522560113868798,324518553658279148326966716792830,162259276829213354384378755547134,319447951257513791162770698272766,324518553657836394944000295960574,324518553582868790999647659229182,324518553658426582597599200542718,324518553620647506689822707154942,321983136401054115026759040364494,324518553658416350489595231600622,324518553658405974196053769977822,324518553658422115097000153970682,324518553658416350489595231600622,324518553658405974196053769977822,321983252457932798031262891372542,324518553658352939805761670447094,324518553658279148326966716792830,324518553658131578877976600641534,324518553657836394944000295960574,324518553657246134599488655851518,324201641006008486191347022168062,243388915239097678604497370218494,324518553648981992691516823306238,324518553639537260851676902850558,324518553620647506689822707154942,324518553582868790999647659229182,324518553507310999326929327226878,283953734148891931031604224327678,324508649533649533933642240229374,324518552449500907150934659825662,304236141636923417129950419877886,324517310882684162944364422627326,314377339185194334654148997283838,324518534315613612808351736922110,324518514972799922654235766812654,324518476287173694986067816476638,324518089430911994765533605789694,324518089430911994765533605789694,324517934688407084093018554236926,324517310882684162944364422627326,323248427178119926621109519122430,324513601898269585262056390524926,324508649533649533933642240229374,323864921317684045998009282985982,324320483252141065939172160700414,324439325495912462445562208190462,324320483252141065939172160700414,324201641006008486191347022168062,323864921317684045998009282985982,323248427178119926621109519122430,321983252457932798031262891372542,319447951257513791162770698272766,314377339185194334654148997283838,304236141636923417129950419877886,283953734148891931031604224327678,243388915239097678604497370218494,162259276829213354384378755547134
108	41	C3 x C3 x A4	5832	54	true	true	216	168	84	2	2	108	1	clique_ge_9	96,93,94,92,91,90,95,84,82	0,324518553658426726783156020576188,324518553658422115096987269044170,324518553658352939804937036529606,321982672173429855464124505917378,321982672173429855464124505917378,324518553658426726783156020576188,324518553658426726780956997320574,324518553658426726747971648487166,324518553658426726501681043865086,324518553658426726783156018478078,324518553658422115096987269044170,321983136401054115026759040364494,324518553658422115096987269044170,324518553658422115096987269044170,324518553658352939804937036529606,324518553658352939804937036529606,324518553658352939804937036529606,321982672173429855464124505917378,324518553658426726783156011663358,324518553658426726783155885309950,324518553658426726783156018478078,324518553658426726783154942640126,324518553658426726783156011663358,324517934688407084093018554236926,324513601898269585262056390524926,324518553658131578877976600641534,324518553658426726783155885309950,324439325495912462445562208190462,324518553639537260851676902850558,324518553658426726783154942640126,324518089430880865884909220921294,324518553658422115096987269044170,324518553658422115096987269044170,324518089430880865884909220921294,321983136401054115026759040364494,321983136401054115026759040364494,324518553658422115096987269044170,324518553658352939804937036529606,324518553658352939804937036529606,324518553658352939804937036529606,324518553658426726780956997320574,324518553507310999326929327226878,324518553658426724522560113868798,324518552449500907150934659825662,324518553658426726747971648487166,324518553658426582597599200542718,324518534315613612808351736922110,324518553658426726501681043865086,324518553657246134599488655851518,324518553648981992691516823306238,324518553658426724522560113868798,324518553658279148326966716792830,162259276829213354384378755547134,319447951257513791162770698272766,324518553657836394944000295960574,324518553582868790999647659229182,324518553658426582597599200542718,324518553620647506689822707154942,321983136401054115026759040364494,324518089430880865884909220921294,324518089430880865884909220921294,324518553658422115096987269044170,324518089430880865884909220921294,324518089430880865884909220921294,321983136401054115026759040364494,324518553658352939804937036529606,324518553658279148326966716792830,324518553658131578877976600641534,324518553657836394944000295960574,324518553657246134599488655851518,324201641006008486191347022168062,243388915239097678604497370218494,324518553648981992691516823306238,324518553639537260851676902850558,324518553620647506689822707154942,324518553582868790999647659229182,324518553507310999326929327226878,283953734148891931031604224327678,324508649533649533933642240229374,324518552449500907150934659825662,304236141636923417129950419877886,324517310882684162944364422627326,314377339185194334654148997283838,324518534315613612808351736922110,321983136401054115026759040364494,321983136401054115026759040364494,324518089430880865884909220921294,324518089430880865884909220921294,324517934688407084093018554236926,324517310882684162944364422627326,323248427178119926621109519122430,324513601898269585262056390524926,324508649533649533933642240229374,323864921317684045998009282985982,324320483252141065939172160700414,324439325495912462445562208190462,324320483252141065939172160700414,324201641006008486191347022168062,323864921317684045998009282985982,323248427178119926621109519122430,321983136401054115026759040364494,319447951257513791162770698272766,314377339185194334654148997283838,304236141636923417129950419877886,283953734148891931031604224327678,243388915239097678604497370218494,162259276829213354384378755547134
108	41	C3 x C3 x A4	5832	54	true	true	216	168	84	3	3	72	1	clique_ge_9	97,92,91,90,11,85,10,84,9	0,324518553658426726783156020576188,324518553658422115096987269044170,201645574834598445179922681987014,324518514972789546360395804854242,324518476287152942398407219947474,324518553658426726783156020576188,324518553658426726780956997320574,324518553658426726747971648487166,324518553658426726501681043865086,324518553658426726783156018478078,324518553658422115096987269044170,321983136401054115026759040364494,324518553658426726783151725598698,324518553658426726783147430623194,201645574834598445179922681987014,324518553658426726782881142570982,324518553658426726782606264598486,321982788230339667350090260637682,324518553506130407143261953556470,324518553658426726783155885309950,324518553658426726783156018478078,324518553658426726783154942640126,324518553506130407143261953556470,324517934688407084093018554236926,324513601898269585262056390524926,324518553658131578877976600641534,324518553658426726783155885309950,324439325495912462445562208190462,324518553639537260851676902850558,324518553658426726783154942640126,324518089430880865884909220921294,324518553658426726783151725598698,324518553658426726783147430623194,324518089430880865884909220921294,324518514972799922654235766812654,324518476287173694986067816476638,324518553658422115097000153970682,324518553658426726782881142570982,324518553658426726782606264598486,324518553658352939805761670447094,324518553658426726780956997320574,324518553506130407143261953556470,324191736881231291081237335080950,242735281689429178187129271844854,324518553658426726747971648487166,324518553658426582597599200542718,324518534315613612808351736922110,324518553658426726501681043865086,324518553506130407143261953556470,283755663733161536095981167149046,324191736881231291081237335080950,324518553658279148326966716792830,162259276829213354384378755547134,319447951257513791162770698272766,324518553657836394944000295960574,324518553582868790999647659229182,324518553658426582597599200542718,324518553620647506689822707154942,321983136401054115026759040364494,324518553658416350489595231600622,324518553658405974196053769977822,324518553658422115097000153970682,324518553658416350489595231600622,324518553658405974196053769977822,321983252457932798031262891372542,324518553658352939805761670447094,324518553658279148326966716792830,324518553658131578877976600641534,324518553657836394944000295960574,324518553506130407143261953556470,324191736881231291081237335080950,242735281689429178187129271844854,283755663733161536095981167149046,324518553639537260851676902850558,324518553620647506689822707154942,324518553582868790999647659229182,324518553506130407143261953556470,283755663733161536095981167149046,324191736881231291081237335080950,242735281689429178187129271844854,304236141636923417129950419877886,324517310882684162944364422627326,314377339185194334654148997283838,324518534315613612808351736922110,324518514972799922654235766812654,324518476287173694986067816476638,324518089430911994765533605789694,324518089430911994765533605789694,324517934688407084093018554236926,324517310882684162944364422627326,323248427178119926621109519122430,324513601898269585262056390524926,324191736881231291081237335080950,242735281689429178187129271844854,283755663733161536095981167149046,324439325495912462445562208190462,283755663733161536095981167149046,324191736881231291081237335080950,242735281689429178187129271844854,323248427178119926621109519122430,321983252457932798031262891372542,319447951257513791162770698272766,314377339185194334654148997283838,304236141636923417129950419877886,283755663733161536095981167149046,242735281689429178187129271844854,162259276829213354384378755547134
108	41	C3 x C3 x A4	5832	54	true	true	216	168	84	4	3	72	1	clique_ge_9	85,82,93,92,11,83,10,78,81	0,324518553658426726783156020576188,105739256789625560291209897547466,324518553658352939804937036529606,324518514972789546360395804854242,324518476287152942398407219947474,324518553658426726783156020576188,324518553658426726780956997320574,324517934687226491874166817421050,324518553658426726501681043865086,324518553658426726783156018478078,105739256789625560291209897547466,321983136401054115026759040364494,324518553658426726783151725598698,324518553658426726783147430623194,324518553658352939804937036529606,324518553658426726782881142570982,324518553658426726782606264598486,321982788230339667350090260637682,324518553658426726783156011663358,324518553658426726783155885309950,324518553658426726783156018478078,324518553658426726783154942640126,324518553658426726783156011663358,324517934687226491874166817421050,324513601898269585262056390524926,324518553658131578877976600641534,324518553658426726783155885309950,121615229157164294295233146910714,319438047113847132381777800198138,324518553658426726783154942640126,324518089430880865884909220921294,324518553658426726783151725598698,324518553658426726783147430623194,324518089430880865884909220921294,324518514972799922654235766812654,324518476287173694986067816476638,324518553658422115097000153970682,324518553658426726782881142570982,324518553658426726782606264598486,324518553658352939805761670447094,324518553658426726780956997320574,324518553507310999326929327226878,324518553658426724522560113868798,324518552449500907150934659825662,324517934687226491874166817421050,324518553658426582597599200542718,324518534315613612808351736922110,324518553658426726501681043865086,324517934687226491874166817421050,324518553648981992691516823306238,324518553658426724522560113868798,324518553658279148326966716792830,121615229157164294295233146910714,319438047113847132381777800198138,324518553657836394944000295960574,324518553582868790999647659229182,324518553658426582597599200542718,313723706806672433775668946270202,321983136401054115026759040364494,324518553658416350489595231600622,324518553658405974196053769977822,324518553658422115097000153970682,324518553658416350489595231600622,324518553658405974196053769977822,321983252457932798031262891372542,324518553658352939805761670447094,324518553658279148326966716792830,324518553658131578877976600641534,324518553657836394944000295960574,324517934687226491874166817421050,324201641006008486191347022168062,243388915239097678604497370218494,324518553648981992691516823306238,319438047113847132381777800198138,313723706806672433775668946270202,324518553582868790999647659229182,324518553507310999326929327226878,121615229157164294295233146910714,319438047113847132381777800198138,324518552449500907150934659825662,304236141636923417129950419877886,324517310882684162944364422627326,313723706806672433775668946270202,324518534315613612808351736922110,324518514972799922654235766812654,324518476287173694986067816476638,324518089430911994765533605789694,324518089430911994765533605789694,324517934687226491874166817421050,324517310882684162944364422627326,323248427178119926621109519122430,324513601898269585262056390524926,319438047113847132381777800198138,313723706806672433775668946270202,324320483252141065939172160700414,121615229157164294295233146910714,324320483252141065939172160700414,324201641006008486191347022168062,313723706806672433775668946270202,323248427178119926621109519122430,321983252457932798031262891372542,319438047113847132381777800198138,313723706806672433775668946270202,304236141636923417129950419877886,121615229157164294295233146910714,243388915239097678604497370218494,121615229157164294295233146910714
108	41	C3 x C3 x A4	5832	54	true	true	216	168	84	5	3	72	1	clique_ge_9	90,85,93,84,75,74,76,96,9	0,324518553657098556143280024715196,324518553658422115096987269044170,324518553658352939804937036529606,324518514972789546360395804854242,324518476287152942398407219947474,324518553657098556143280024715196,324518553658426726780956997320574,324518553658426726747971648487166,263671322127388621096904319565310,324507406757906970094831312829438,324518553658422115096987269044170,321983136401054115026759040364494,324518553658426726783151725598698,324518553658426726783147430623194,324518553658352939804937036529606,324518553658426726782881142570982,324518553658426726782606264598486,321982788230339667350090260637682,324518553658426726783156011663358,324518553658426726783155885309950,324507406757906970094831312829438,322594794837377245835942376243198,324518553658426726783156011663358,324517934688407084093018554236926,324513601898269585262056390524926,324518553658131578877976600641534,324518553658426726783155885309950,324439325495912462445562208190462,324518553639537260851676902850558,322594794837377245835942376243198,261735952176945351923320481380748,324518553658426726783151725598698,324518553658426726783147430623194,261735952176945351923320481380748,324518514972799922654235766812654,324518476287173694986067816476638,324518553658422115097000153970682,324518553658426726782881142570982,324518553658426726782606264598486,324518553658352939805761670447094,324518553658426726780956997320574,324518553507310999326929327226878,324518553658426724522560113868798,324518552449500907150934659825662,324518553658426726747971648487166,324518553658426582597599200542718,324518534315613612808351736922110,263671322127388621096904319565310,324518553657098556143280024715196,324518553648981992691516823306238,324518553658426724522560113868798,324518553657098556143280024715196,162259276829213354384378755547134,319447951257513791162770698272766,324518553657836394944000295960574,324518553582868790999647659229182,324518553658426582597599200542718,324518553620647506689822707154942,321983136401054115026759040364494,324518553658416350489595231600622,324518553658405974196053769977822,324518553658422115097000153970682,324518553658416350489595231600622,324518553658405974196053769977822,321983252457932798031262891372542,324518553658352939805761670447094,324518553657098556143280024715196,324518553658131578877976600641534,324518553657836394944000295960574,324518553657098556143280024715196,324201641006008486191347022168062,243388915239097678604497370218494,324518553648981992691516823306238,324518553639537260851676902850558,324518553620647506689822707154942,324518553582868790999647659229182,324518553507310999326929327226878,263671322127388621096904319565310,324507406757906970094831312829438,324518552449500907150934659825662,263671322127388621096904319565310,324507406757906970094831312829438,314377339185194334654148997283838,324518534315613612808351736922110,324518514972799922654235766812654,324518476287173694986067816476638,324518089430911994765533605789694,324518089430911994765533605789694,324517934688407084093018554236926,324507406757906970094831312829438,322594794837377245835942376243198,324513601898269585262056390524926,324507406757906970094831312829438,322594794837377245835942376243198,324320483252141065939172160700414,324439325495912462445562208190462,324320483252141065939172160700414,324201641006008486191347022168062,322594794837377245835942376243198,322594794837377245835942376243198,321983252457932798031262891372542,319447951257513791162770698272766,314377339185194334654148997283838,263671322127388621096904319565310,263671322127388621096904319565310,243388915239097678604497370218494,162259276829213354384378755547134
108	41	C3 x C3 x A4	5832	54	true	true	216	168	84	6	3	72	1	clique_ge_9	99,97,98,92,11,90,10,84,9	0,324518553658426726783156020576188,324518553658422115096987269044170,324518553658352939804937036529606,324518514972789546360395804854242,324518476287152942398407219947474,324518553658426726783156020576188,324518553657245558136537193901950,324518553658426726747971648487166,324518553658426726501681043865086,324518553658426726783156018478078,324518553658422115096987269044170,280749809245405038245375963295566,324518553658426726783151725598698,324518553658426726783147430623194,324518553658352939804937036529606,324518553658426726782881142570982,324518553658426726782606264598486,321982788230339667350090260637682,324518553658426726783156011663358,324518553657245558136537193901950,324518553658426726783156018478078,324518553658426726783154942640126,324518553658426726783156011663358,324517934688407084093018554236926,283948782313176277266243929501694,324508649533353665382153696833534,324518553657245558136537193901950,324439325495912462445562208190462,324518553639537260851676902850558,324518553658426726783154942640126,324518089430880865884909220921294,324518553658426726783151725598698,324518553658426726783147430623194,324518089430880865884909220921294,324518514972799922654235766812654,324518476287173694986067816476638,324518553658422115097000153970682,324518553658426726782881142570982,324518553658426726782606264598486,324518553658352939805761670447094,324518553657245558136537193901950,324518553507310999326929327226878,324518553658426724522560113868798,324518552449500907150934659825662,324518553658426726747971648487166,324508649533353665382153696833534,323864901974280023723296971288574,324518553658426726501681043865086,324518553657245558136537193901950,324518553648981992691516823306238,324518553658426724522560113868798,324518553658279148326966716792830,162259276829213354384378755547134,319447951257513791162770698272766,323864901974280023723296971288574,283948782313176277266243929501694,324508649533353665382153696833534,324518553620647506689822707154942,280749809245405038245375963295566,324518553658416350489595231600622,324518553658405974196053769977822,324518553658422115097000153970682,324518553658416350489595231600622,324518553658405974196053769977822,321983252457932798031262891372542,324518553658352939805761670447094,324518553658279148326966716792830,324508649533353665382153696833534,323864901974280023723296971288574,324518553657245558136537193901950,324201641006008486191347022168062,243388915239097678604497370218494,324518553648981992691516823306238,324518553639537260851676902850558,324518553620647506689822707154942,283948782313176277266243929501694,324518553507310999326929327226878,283948782313176277266243929501694,324508649533353665382153696833534,324518552449500907150934659825662,304236141636923417129950419877886,324517310882684162944364422627326,314377339185194334654148997283838,323864901974280023723296971288574,324518514972799922654235766812654,324518476287173694986067816476638,324518089430911994765533605789694,324518089430911994765533605789694,324517934688407084093018554236926,324517310882684162944364422627326,323248427178119926621109519122430,283948782313176277266243929501694,324508649533353665382153696833534,323864901974280023723296971288574,324320483252141065939172160700414,324439325495912462445562208190462,324320483252141065939172160700414,324201641006008486191347022168062,323864901974280023723296971288574,323248427178119926621109519122430,321983252457932798031262891372542,319447951257513791162770698272766,314377339185194334654148997283838,304236141636923417129950419877886,283948782313176277266243929501694,243388915239097678604497370218494,162259276829213354384378755547134
108	41	C3 x C3 x A4	5832	54	true	true	216	168	84	7	3	72	1	clique_ge_9	94,99,92,95,11,56,10,69,68	0,324518553658426726783156020576188,324518553658422115096987269044170,324518553658352939804937036529606,324518514972789546360395804854242,324518476287152942398407219947474,324518553658426726783156020576188,324518553658426726780956997320574,324518553658426726747971648487166,324518553658426726501681043865086,324518553658426726783156018478078,324518553658422115096987269044170,321983136401054115026759040364494,324518553658426726783151725598698,324518553658426726783147430623194,324518553658352939804937036529606,324518553658426726782881142570982,324518553658426726782606264598486,321982788230339667350090260637682,324517934688407084092999082704894,324517934688407084092999082704894,324518553658426726783156018478078,324518553658426726783154942640126,324517934688407084092999082704894,324517934688407084092999082704894,324513601898269585262056390524926,324518553658131578877976600641534,324517934688407084092999082704894,324439325495912462445562208190462,324518553639537260851676902850558,324518553658426726783154942640126,147046356120760773118276070014926,324518553658426726783151725598698,324518553658426726783147430623194,147046356120760773118276070014926,324518514972799922654235766812654,324518476287173694986067816476638,324518553658422115097000153970682,324518553658426726782881142570982,324518553658426726782606264598486,324518553658352939805761670447094,324518553658426726780956997320574,324518553507310999326929327226878,319447951257513644716598644178942,314377318633455401047104025526270,324518553658426726747971648487166,319447951257513644716598644178942,314377318633455401047104025526270,324518553658426726501681043865086,324518553657246134599488655851518,162259276744210684509211869577214,319447951257513644716598644178942,324518553658279148326966716792830,162259276744210684509211869577214,319447951257513644716598644178942,324518553657836394944000295960574,162259276744210684509211869577214,319447951257513644716598644178942,324518553620647506689822707154942,321983136401054115026759040364494,324518553658416350489595231600622,324518553658405974196053769977822,324518553658422115097000153970682,324518553658416350489595231600622,324518553658405974196053769977822,321983252457932798031262891372542,324518553658352939805761670447094,324518553658279148326966716792830,324518553658131578877976600641534,324518553657836394944000295960574,324518553657246134599488655851518,324201641006008486191347022168062,243388915239097678604497370218494,162259276744210684509211869577214,324518553639537260851676902850558,324518553620647506689822707154942,162259276744210684509211869577214,324518553507310999326929327226878,283953734148891931031604224327678,324508649533649533933642240229374,314377318633455401047104025526270,304236141636923417129950419877886,324517310882684162944364422627326,314377318633455401047104025526270,314377318633455401047104025526270,324518514972799922654235766812654,324518476287173694986067816476638,324518089430911994765533605789694,324518089430911994765533605789694,324517934688407084092999082704894,324517310882684162944364422627326,323248427178119926621109519122430,324513601898269585262056390524926,324508649533649533933642240229374,323864921317684045998009282985982,324320483252141065939172160700414,324439325495912462445562208190462,324320483252141065939172160700414,324201641006008486191347022168062,323864921317684045998009282985982,323248427178119926621109519122430,321983252457932798031262891372542,319447951257513644716598644178942,314377318633455401047104025526270,304236141636923417129950419877886,283953734148891931031604224327678,243388915239097678604497370218494,162259276744210684509211869577214
108	41	C3 x C3 x A4	5832	54	true	true	216	168	84	8	3	72	1	clique_ge_9	80,78,77,97,11,76,10,75,71	0,324518553658426726783156020576188,324518553658422115096987269044170,125488107946231723588763157823302,324518514972789546360395804854242,324518476287152942398407219947474,324518553658426726783156020576188,324517934688259505634630227165046,324518553658426726747971648487166,324518553658426726501681043865086,324518553658426726783156018478078,324518553658422115096987269044170,321983136401054115026759040364494,324518553658426726783151725598698,324518553658426726783147430623194,125488107946231723588763157823302,324518553658426726782881142570982,324518553658426726782606264598486,321982788230339667350090260637682,324518553658426726783156011663358,324518553658426726783155885309950,324518553658426726783156018478078,324518553658426726783154942640126,324518553658426726783156011663358,324517934688259505634630227165046,141971913047552903210073524764662,319446708481476079418799680356342,324518553658426726783155885309950,324439325495912462445562208190462,324518553639537260851676902850558,324518553658426726783154942640126,324518089430880865884909220921294,324518553658426726783151725598698,324518553658426726783147430623194,324518089430880865884909220921294,324518514972799922654235766812654,324518476287173694986067816476638,324518553658422115097000153970682,324518553658426726782881142570982,324518553658426726782606264598486,324518553658352939805761670447094,324517934688259505634630227165046,324518553507310999326929327226878,324518553658426724522560113868798,324518552449500907150934659825662,324518553658426726747971648487166,324518553658426582597599200542718,324518534315613612808351736922110,324518553658426726501681043865086,324518553657246134599488655851518,324518553648981992691516823306238,324518553658426724522560113868798,324517934688259505634630227165046,141971913047552903210073524764662,319446708481476079418799680356342,313107212704297202652946771181558,324518553582868790999647659229182,324518553658426582597599200542718,324518553620647506689822707154942,321983136401054115026759040364494,324518553658416350489595231600622,324518553658405974196053769977822,324518553658422115097000153970682,324518553658416350489595231600622,324518553658405974196053769977822,321983252457932798031262891372542,324518553658352939805761670447094,324517934688259505634630227165046,319446708481476079418799680356342,313107212704297202652946771181558,324518553657246134599488655851518,324201641006008486191347022168062,243388915239097678604497370218494,324518553648981992691516823306238,324518553639537260851676902850558,324518553620647506689822707154942,324518553582868790999647659229182,324518553507310999326929327226878,283953734148891931031604224327678,324508649533649533933642240229374,324518552449500907150934659825662,141971913047552903210073524764662,319446708481476079418799680356342,313107212704297202652946771181558,324518534315613612808351736922110,324518514972799922654235766812654,324518476287173694986067816476638,324518089430911994765533605789694,324518089430911994765533605789694,324517934688259505634630227165046,319446708481476079418799680356342,313107212704297202652946771181558,141971913047552903210073524764662,324508649533649533933642240229374,323864921317684045998009282985982,324320483252141065939172160700414,324439325495912462445562208190462,324320483252141065939172160700414,324201641006008486191347022168062,323864921317684045998009282985982,313107212704297202652946771181558,321983252457932798031262891372542,319446708481476079418799680356342,313107212704297202652946771181558,141971913047552903210073524764662,283953734148891931031604224327678,243388915239097678604497370218494,141971913047552903210073524764662
108	41	C3 x C3 x A4	5832	54	true	true	216	168	84	9	3	72	1	clique_ge_9	99,96,95,93,11,90,10,85,94	0,324518553658426726783156020576188,324518553658422115096987269044170,324518553658352939804937036529606,324518514972789546360395804854242,324518476287152942398407219947474,324518553658426726783156020576188,324518553658426726780956997320574,324518553658278571831030032363262,324518553658426726501681043865086,324518553658426726783156018478078,324518553658422115096987269044170,300350125685800356534478947217102,324518553658426726783151725598698,324518553658426726783147430623194,324518553658352939804937036529606,324518553658426726782881142570982,324518553658426726782606264598486,321982788230339667350090260637682,324518553658278571831030032363262,324518553658426726783155885309950,324518553658426726783156018478078,324518553658426726783154942640126,324518553658278571831030032363262,324517934688407084093018554236926,324513601898269585262056390524926,324518553658131578877976600641534,324518553658426726783155885309950,304156913464963842239965106794494,324517310863794118291537094766590,324518553658426726783154942640126,324518089430880865884909220921294,324518553658426726783151725598698,324518553658426726783147430623194,324518089430880865884909220921294,324518514972799922654235766812654,324518476287173694986067816476638,324518553658422115097000153970682,324518553658426726782881142570982,324518553658426726782606264598486,324518553658352939805761670447094,324518553658426726780956997320574,324518553507310999326929327226878,324517310863794118291537094766590,323248425931414310434802541522942,324518553658278571831030032363262,324518553658426582597599200542718,324518534315613612808351736922110,324518553658426726501681043865086,324518553657246134599488655851518,304156913464963842239965106794494,324517310863794118291537094766590,324518553658278571831030032363262,162259276829213354384378755547134,319447951257513791162770698272766,324518553657836394944000295960574,324518553582868790999647659229182,324518553658426582597599200542718,323248425931414310434802541522942,300350125685800356534478947217102,324518553658416350489595231600622,324518553658405974196053769977822,324518553658422115097000153970682,324518553658416350489595231600622,324518553658405974196053769977822,321983252457932798031262891372542,324518553658352939805761670447094,324518553658278571831030032363262,324518553658131578877976600641534,324518553657836394944000295960574,324518553657246134599488655851518,324201641006008486191347022168062,243388915239097678604497370218494,304156913464963842239965106794494,324517310863794118291537094766590,323248425931414310434802541522942,324518553582868790999647659229182,324518553507310999326929327226878,283953734148891931031604224327678,324508649533649533933642240229374,323248425931414310434802541522942,304156913464963842239965106794494,324517310863794118291537094766590,314377339185194334654148997283838,324518534315613612808351736922110,324518514972799922654235766812654,324518476287173694986067816476638,324518089430911994765533605789694,324518089430911994765533605789694,324517934688407084093018554236926,324517310863794118291537094766590,323248425931414310434802541522942,324513601898269585262056390524926,324508649533649533933642240229374,323864921317684045998009282985982,324320483252141065939172160700414,304156913464963842239965106794494,324320483252141065939172160700414,324201641006008486191347022168062,323864921317684045998009282985982,323248425931414310434802541522942,321983252457932798031262891372542,319447951257513791162770698272766,314377339185194334654148997283838,304156913464963842239965106794494,283953734148891931031604224327678,243388915239097678604497370218494,162259276829213354384378755547134
108	41	C3 x C3 x A4	5832	54	true	true	216	168	84	10	3	72	1	clique_ge_9	96,93,94,92,91,90,95,84,82	0,324518553658426726783156020576188,321982672173429855464124505917378,321982672173429855464124505917378,324518514972789546360395804854242,324518476287152942398407219947474,324518553658426726783156020576188,324518553658426726780956997320574,324518553658426726747971648487166,324518553658426726501681043865086,324518553658426726783156018478078,321982672173429855464124505917378,321982672173429855464124505917378,324518514972789546360395804854242,324518476287152942398407219947474,321982672173429855464124505917378,324518514972789546360395804854242,324518476287152942398407219947474,321982788230339667350090260637682,324518553658426726783156011663358,324518553658426726783155885309950,324518553658426726783156018478078,324518553658426726783154942640126,324518553658426726783156011663358,324517934688407084093018554236926,324513601898269585262056390524926,324518553658131578877976600641534,324518553658426726783155885309950,324439325495912462445562208190462,324518553639537260851676902850558,324518553658426726783154942640126,321982672173429855464124505917378,324518514972789546360395804854242,324518476287152942398407219947474,321982672173429855464124505917378,324518514972789546360395804854242,324518476287152942398407219947474,321982788230339667350090260637682,324518514972789546360395804854242,324518476287152942398407219947474,321982788230339667350090260637682,324518553658426726780956997320574,324518553507310999326929327226878,324518553658426724522560113868798,324518552449500907150934659825662,324518553658426726747971648487166,324518553658426582597599200542718,324518534315613612808351736922110,324518553658426726501681043865086,324518553657246134599488655851518,324518553648981992691516823306238,324518553658426724522560113868798,324518553658279148326966716792830,162259276829213354384378755547134,319447951257513791162770698272766,324518553657836394944000295960574,324518553582868790999647659229182,324518553658426582597599200542718,324518553620647506689822707154942,321982672173429855464124505917378,324518514972789546360395804854242,324518476287152942398407219947474,321982788230339667350090260637682,324518514972789546360395804854242,324518476287152942398407219947474,321982788230339667350090260637682,321982788230339667350090260637682,324518553658279148326966716792830,324518553658131578877976600641534,324518553657836394944000295960574,324518553657246134599488655851518,324201641006008486191347022168062,243388915239097678604497370218494,324518553648981992691516823306238,324518553639537260851676902850558,324518553620647506689822707154942,324518553582868790999647659229182,324518553507310999326929327226878,283953734148891931031604224327678,324508649533649533933642240229374,324518552449500907150934659825662,304236141636923417129950419877886,324517310882684162944364422627326,314377339185194334654148997283838,324518534315613612808351736922110,324518514972789546360395804854242,324518476287152942398407219947474,321982788230339667350090260637682,321982788230339667350090260637682,324517934688407084093018554236926,324517310882684162944364422627326,323248427178119926621109519122430,324513601898269585262056390524926,324508649533649533933642240229374,323864921317684045998009282985982,324320483252141065939172160700414,324439325495912462445562208190462,324320483252141065939172160700414,324201641006008486191347022168062,323864921317684045998009282985982,323248427178119926621109519122430,321982788230339667350090260637682,319447951257513791162770698272766,314377339185194334654148997283838,304236141636923417129950419877886,283953734148891931031604224327678,243388915239097678604497370218494,162259276829213354384378755547134
